dataset,metric,repetitions,text_only_mean,emotion_aware_mean,mean_difference,emotion_better_repetitions,text_better_repetitions,ties,wilcoxon_statistic,p_value,rank_biserial,p_value_holm,significant_holm_0_05
factors_finance,misleading_recall,10,0.46482635796972394,0.5188780053428317,0.05405164737310777,8,2,0,16.0,0.275390625,0.41818181818181815,0.3203125,False
liar2_finance,misleading_recall,10,0.3151380231522707,0.42769367764915406,0.11255565449688335,7,3,0,13.0,0.16015625,0.5272727272727272,0.3203125,False
