dataset,repetition,seed,model,train_rows,ngram_range,min_df,C,affect_weight,scope,subset,manipulation_category,rows,detected_misleading,missed_misleading,misleading_recall,mean_probability_misleading,median_probability_misleading,std_probability_misleading
liar2_finance,2,22,text_only,2048,1-2,1,10.0,,overall,all,all,1123,436,687,0.38824577025823687,0.44913119385087635,0.4404993017993807,0.19241277665736295
liar2_finance,2,22,text_only,2048,1-2,1,10.0,,overall_non_sentiment,all,non_sentiment,917,362,555,0.39476553980370777,0.45130409920864434,0.4404993017993807,0.19375742199149187
liar2_finance,2,22,text_only,2048,1-2,1,10.0,,subset,hard_case,all,123,36,87,0.2926829268292683,0.40116688066514505,0.3977647719957103,0.18718366279079818
liar2_finance,2,22,text_only,2048,1-2,1,10.0,,subset_non_sentiment,hard_case,non_sentiment,70,23,47,0.32857142857142857,0.41086691483496746,0.40327920807737216,0.1988118464425846
liar2_finance,2,22,text_only,2048,1-2,1,10.0,,subset,main,all,1000,400,600,0.4,0.4550308043727213,0.4445427354978,0.19222135591443748
liar2_finance,2,22,text_only,2048,1-2,1,10.0,,subset_non_sentiment,main,non_sentiment,847,339,508,0.4002361275088548,0.4546460152725846,0.4428084986419388,0.19295504154854679
liar2_finance,2,22,text_only,2048,1-2,1,10.0,,category,all,causal,231,115,116,0.49783549783549785,0.4954444127728251,0.493219122889388,0.19720122065679194
liar2_finance,2,22,text_only,2048,1-2,1,10.0,,category,all,flipping,313,113,200,0.3610223642172524,0.43660021347691313,0.4175188036430143,0.19045884889692336
liar2_finance,2,22,text_only,2048,1-2,1,10.0,,category,all,numerical,373,134,239,0.35924932975871315,0.4363065222668377,0.43173798911330563,0.19015424369326708
liar2_finance,2,22,text_only,2048,1-2,1,10.0,,category,all,sentiment,206,74,132,0.3592233009708738,0.4394586005835305,0.44055057284567756,0.1860016882201255
liar2_finance,2,22,text_only,2048,1-2,1,10.0,,subset_category,hard_case,causal,43,21,22,0.4883720930232558,0.47287236991200843,0.493219122889388,0.2067689723420564
liar2_finance,2,22,text_only,2048,1-2,1,10.0,,subset_category,hard_case,flipping,7,2,5,0.2857142857142857,0.41221103251665586,0.44601246151159657,0.14835499284563014
liar2_finance,2,22,text_only,2048,1-2,1,10.0,,subset_category,hard_case,numerical,20,0,20,0.0,0.2770847452307385,0.2679961172336646,0.11204517829769974
liar2_finance,2,22,text_only,2048,1-2,1,10.0,,subset_category,hard_case,sentiment,53,13,40,0.24528301886792453,0.38835551478047403,0.3665671742153583,0.16976810989318947
liar2_finance,2,22,text_only,2048,1-2,1,10.0,,subset_category,main,causal,188,94,94,0.5,0.5006071672569482,0.5032700222198518,0.1945792839392826
liar2_finance,2,22,text_only,2048,1-2,1,10.0,,subset_category,main,flipping,306,111,195,0.3627450980392157,0.4371581359171804,0.41589810158226737,0.19127725047683033
liar2_finance,2,22,text_only,2048,1-2,1,10.0,,subset_category,main,numerical,353,134,219,0.37960339943342775,0.44532758612157414,0.44288653212332213,0.1896793959279069
liar2_finance,2,22,text_only,2048,1-2,1,10.0,,subset_category,main,sentiment,153,61,92,0.39869281045751637,0.4571609767113867,0.45232315025842146,0.18809370659559915
liar2_finance,2,22,emotion_aware,2048,1-2,1,1.0,0.05,overall,all,all,1123,314,809,0.27960819234194123,0.45458973691407567,0.45292301520285866,0.08050333024052467
liar2_finance,2,22,emotion_aware,2048,1-2,1,1.0,0.05,overall_non_sentiment,all,non_sentiment,917,265,652,0.2889858233369684,0.4555170424887639,0.452514398860204,0.0811641153466004
liar2_finance,2,22,emotion_aware,2048,1-2,1,1.0,0.05,subset,hard_case,all,123,22,101,0.17886178861788618,0.4337329033822583,0.4306722858745324,0.08261597188783898
liar2_finance,2,22,emotion_aware,2048,1-2,1,1.0,0.05,subset_non_sentiment,hard_case,non_sentiment,70,14,56,0.2,0.43026289012574725,0.4239450509066521,0.08874045532280556
liar2_finance,2,22,emotion_aware,2048,1-2,1,1.0,0.05,subset,main,all,1000,292,708,0.292,0.4571551274384893,0.45638061866992147,0.07986433293109063
liar2_finance,2,22,emotion_aware,2048,1-2,1,1.0,0.05,subset_non_sentiment,main,non_sentiment,847,251,596,0.29634002361275086,0.4576041625187653,0.4557452176976834,0.08015088526819925
liar2_finance,2,22,emotion_aware,2048,1-2,1,1.0,0.05,category,all,causal,231,70,161,0.30303030303030304,0.45747515676864325,0.45441881817659524,0.07840787938858307
liar2_finance,2,22,emotion_aware,2048,1-2,1,1.0,0.05,category,all,flipping,313,121,192,0.3865814696485623,0.47823900267524694,0.4821505133122331,0.07798328448685225
liar2_finance,2,22,emotion_aware,2048,1-2,1,1.0,0.05,category,all,numerical,373,74,299,0.19839142091152814,0.43523742335465854,0.43207789850901557,0.08023658468089954
liar2_finance,2,22,emotion_aware,2048,1-2,1,1.0,0.05,category,all,sentiment,206,49,157,0.23786407766990292,0.4504618766617016,0.453695021947189,0.07735878411001278
liar2_finance,2,22,emotion_aware,2048,1-2,1,1.0,0.05,subset_category,hard_case,causal,43,11,32,0.2558139534883721,0.4523195185693838,0.4347621169589933,0.08967542147005216
liar2_finance,2,22,emotion_aware,2048,1-2,1,1.0,0.05,subset_category,hard_case,flipping,7,3,4,0.42857142857142855,0.4756408586924836,0.47486580695546515,0.051121746776349446
liar2_finance,2,22,emotion_aware,2048,1-2,1,1.0,0.05,subset_category,hard_case,numerical,20,0,20,0.0,0.36695884997357087,0.3737351961142417,0.05986361015279166
liar2_finance,2,22,emotion_aware,2048,1-2,1,1.0,0.05,subset_category,hard_case,sentiment,53,8,45,0.1509433962264151,0.43831593975878236,0.43283078108846007,0.07350101677616865
liar2_finance,2,22,emotion_aware,2048,1-2,1,1.0,0.05,subset_category,main,causal,188,59,129,0.31382978723404253,0.4586543718886867,0.45776066952086447,0.07554567769692029
liar2_finance,2,22,emotion_aware,2048,1-2,1,1.0,0.05,subset_category,main,flipping,306,118,188,0.38562091503267976,0.47829843734151933,0.4822304655939299,0.07848928027262637
liar2_finance,2,22,emotion_aware,2048,1-2,1,1.0,0.05,subset_category,main,numerical,353,74,279,0.2096317280453258,0.4391058977671847,0.43733917765158054,0.07950172847333611
liar2_finance,2,22,emotion_aware,2048,1-2,1,1.0,0.05,subset_category,main,sentiment,153,41,112,0.2679738562091503,0.4546692927130397,0.4634023832155844,0.0782123886044551
liar2_finance,3,33,text_only,2048,1-2,1,1.0,,overall,all,all,1123,460,663,0.40961709706144256,0.48378990276349326,0.48149631692331996,0.07715495813228529
liar2_finance,3,33,text_only,2048,1-2,1,1.0,,overall_non_sentiment,all,non_sentiment,917,371,546,0.40458015267175573,0.4838702603093229,0.4812445110283683,0.07833757833742744
liar2_finance,3,33,text_only,2048,1-2,1,1.0,,subset,hard_case,all,123,43,80,0.34959349593495936,0.46582509252737875,0.46767713576590964,0.07280144476680932
liar2_finance,3,33,text_only,2048,1-2,1,1.0,,subset_non_sentiment,hard_case,non_sentiment,70,25,45,0.35714285714285715,0.4671811933247689,0.471093247242766,0.07882181825803371
liar2_finance,3,33,text_only,2048,1-2,1,1.0,,subset,main,all,1000,417,583,0.417,0.4859995744225354,0.4838793582635987,0.07738609409731881
liar2_finance,3,33,text_only,2048,1-2,1,1.0,,subset_non_sentiment,main,non_sentiment,847,346,501,0.4085005903187721,0.48524952204358346,0.48252499481437083,0.07813811959168765
liar2_finance,3,33,text_only,2048,1-2,1,1.0,,category,all,causal,231,118,113,0.5108225108225108,0.5018117328162962,0.5057359038480036,0.0787157095700479
liar2_finance,3,33,text_only,2048,1-2,1,1.0,,category,all,flipping,313,117,196,0.3738019169329074,0.4803017082399959,0.477152422892736,0.0768587374956923
liar2_finance,3,33,text_only,2048,1-2,1,1.0,,category,all,numerical,373,136,237,0.3646112600536193,0.4757535757210884,0.4776235346149079,0.07756720793070843
liar2_finance,3,33,text_only,2048,1-2,1,1.0,,category,all,sentiment,206,89,117,0.4320388349514563,0.4834321946589992,0.4838793582635987,0.07165304409008216
liar2_finance,3,33,text_only,2048,1-2,1,1.0,,subset_category,hard_case,causal,43,20,23,0.46511627906976744,0.4904902151856297,0.4844443498587667,0.07873908359619539
liar2_finance,3,33,text_only,2048,1-2,1,1.0,,subset_category,hard_case,flipping,7,3,4,0.42857142857142855,0.4708585551970948,0.4557777179806076,0.05674690291820906
liar2_finance,3,33,text_only,2048,1-2,1,1.0,,subset_category,hard_case,numerical,20,2,18,0.1,0.4157797196686043,0.4213748424463895,0.058935367909448456
liar2_finance,3,33,text_only,2048,1-2,1,1.0,,subset_category,hard_case,sentiment,53,18,35,0.33962264150943394,0.4640340160025234,0.46397795379016027,0.06394365291854484
liar2_finance,3,33,text_only,2048,1-2,1,1.0,,subset_category,main,causal,188,98,90,0.5212765957446809,0.5044012288701188,0.506460901658112,0.07848119924755022
liar2_finance,3,33,text_only,2048,1-2,1,1.0,,subset_category,main,flipping,306,114,192,0.37254901960784315,0.4805177280808465,0.4785183854422246,0.07724407760029012
liar2_finance,3,33,text_only,2048,1-2,1,1.0,,subset_category,main,numerical,353,134,219,0.37960339943342775,0.47915152790536514,0.47958874255002193,0.07710663627792275
liar2_finance,3,33,text_only,2048,1-2,1,1.0,,subset_category,main,sentiment,153,71,82,0.46405228758169936,0.49015182517398753,0.4923637401043562,0.07294366068218316
liar2_finance,3,33,emotion_aware,2048,1-2,1,1.0,0.1,overall,all,all,1123,302,821,0.26892252894033836,0.44676867621374305,0.4428767983417275,0.08227752518208527
liar2_finance,3,33,emotion_aware,2048,1-2,1,1.0,0.1,overall_non_sentiment,all,non_sentiment,917,253,664,0.27589967284623773,0.4469860644475936,0.4417040930991448,0.08293640967597724
liar2_finance,3,33,emotion_aware,2048,1-2,1,1.0,0.1,subset,hard_case,all,123,25,98,0.2032520325203252,0.42699823923214114,0.4176166758821809,0.08807375440321524
liar2_finance,3,33,emotion_aware,2048,1-2,1,1.0,0.1,subset_non_sentiment,hard_case,non_sentiment,70,16,54,0.22857142857142856,0.4213104391271687,0.4117172919330405,0.09492135040440351
liar2_finance,3,33,emotion_aware,2048,1-2,1,1.0,0.1,subset,main,all,1000,277,723,0.277,0.44920043996248016,0.4470662421267322,0.08120437827030007
liar2_finance,3,33,emotion_aware,2048,1-2,1,1.0,0.1,subset_non_sentiment,main,non_sentiment,847,237,610,0.2798110979929162,0.44910801695341385,0.44551925642914997,0.08150641940877651
liar2_finance,3,33,emotion_aware,2048,1-2,1,1.0,0.1,category,all,causal,231,65,166,0.2813852813852814,0.4476735887543715,0.44173456688793444,0.07966404996070849
liar2_finance,3,33,emotion_aware,2048,1-2,1,1.0,0.1,category,all,flipping,313,119,194,0.3801916932907348,0.46992321676452264,0.4706539245492095,0.079422082182313
