dataset,model,scope,subset,manipulation_category,repetitions,rows,misleading_recall_mean,misleading_recall_std,misleading_recall_min,misleading_recall_max,mean_probability_mean,mean_probability_std,median_probability_mean
factors_finance,emotion_aware,category,all,causal,10,231,0.23896103896103896,0.02736381256250172,0.20346320346320346,0.2987012987012987,0.4331103310232143,0.038227453142983925,0.4291290761721653
factors_finance,emotion_aware,category,all,flipping,10,313,0.3616613418530351,0.07593117024617865,0.26517571884984026,0.4472843450479233,0.4586588196405771,0.03323802535140908,0.4537436672303903
factors_finance,emotion_aware,category,all,numerical,10,373,0.3219839142091153,0.02775946339174946,0.28150134048257375,0.35924932975871315,0.4568563153543071,0.020797357370790838,0.45253989932888883
factors_finance,emotion_aware,category,all,sentiment,10,206,0.3645631067961165,0.055464100843129145,0.30097087378640774,0.48058252427184467,0.4641765597105956,0.0266776809349319,0.46336339614295524
factors_finance,emotion_aware,overall,all,all,10,1123,0.32377560106856634,0.015019410880193906,0.3081032947462155,0.3508459483526269,0.4538169848097973,0.02651905907564584,0.4495970466379441
factors_finance,emotion_aware,overall_non_sentiment,all,non_sentiment,10,917,0.31461286804798255,0.022870451282807885,0.28680479825517996,0.3489640130861505,0.45148975206218067,0.02798108179711195,0.4456062769664911
factors_finance,emotion_aware,subset,hard_case,all,10,123,0.2504065040650406,0.04844813003812803,0.18699186991869918,0.35772357723577236,0.4355573887865609,0.03852253572071501,0.42821301751240587
factors_finance,emotion_aware,subset,main,all,10,1000,0.3328,0.01750428518963285,0.311,0.365,0.45606291512065533,0.025332782810727397,0.4520242672206766
factors_finance,emotion_aware,subset_category,hard_case,causal,10,43,0.18372093023255814,0.03370087615392894,0.13953488372093023,0.23255813953488372,0.4200889637305618,0.04698648412760985,0.4134049692769562
factors_finance,emotion_aware,subset_category,hard_case,flipping,10,7,0.17142857142857143,0.11268723396380222,0.0,0.2857142857142857,0.42307791792355315,0.05385160442619244,0.4345397722111982
factors_finance,emotion_aware,subset_category,hard_case,numerical,10,20,0.255,0.04377975178854565,0.2,0.35,0.4252789653218871,0.03656127339706737,0.4077794109077966
factors_finance,emotion_aware,subset_category,hard_case,sentiment,10,53,0.3132075471698113,0.09122749365770438,0.22641509433962265,0.5094339622641509,0.45363412544207965,0.03394278087558123,0.45340154145969375
factors_finance,emotion_aware,subset_category,main,causal,10,188,0.25159574468085105,0.029031488466306488,0.21808510638297873,0.31382978723404253,0.4360886224784486,0.03627327964241634,0.43131430024589246
factors_finance,emotion_aware,subset_category,main,flipping,10,306,0.3660130718954248,0.07927409759764814,0.2647058823529412,0.4542483660130719,0.45947276183671815,0.033050537508191195,0.4546833730039193
factors_finance,emotion_aware,subset_category,main,numerical,10,353,0.32577903682719545,0.02813912072851999,0.28328611898017,0.3597733711048159,0.45864540034197965,0.019945534997107734,0.4549981714276421
factors_finance,emotion_aware,subset_category,main,sentiment,10,153,0.3823529411764706,0.044569221231979934,0.3202614379084967,0.47058823529411764,0.46782851406504883,0.024215093775906863,0.4687960396771542
factors_finance,emotion_aware,subset_non_sentiment,hard_case,non_sentiment,10,70,0.20285714285714285,0.02841225502890724,0.14285714285714285,0.24285714285714285,0.4218707167473824,0.04407700789439374,0.41295594125858903
factors_finance,emotion_aware,subset_non_sentiment,main,non_sentiment,10,847,0.3238488783943329,0.024545716718657372,0.29515938606847697,0.3612750885478158,0.4539376062204285,0.02680509974570985,0.44824347618364896
factors_finance,text_only,category,all,causal,10,231,0.3238095238095238,0.03545205226915312,0.2857142857142857,0.4025974025974026,0.4831375419878056,0.018353026162642328,0.4829057636269593
factors_finance,text_only,category,all,flipping,10,313,0.44696485623003196,0.01989229506057732,0.4281150159744409,0.4728434504792332,0.49293752217801057,0.007159839267894352,0.4934752876414211
factors_finance,text_only,category,all,numerical,10,373,0.39517426273458445,0.03121914558286251,0.3646112600536193,0.45576407506702415,0.4910073638166577,0.008897399477012544,0.49100653869513566
factors_finance,text_only,category,all,sentiment,10,206,0.38155339805825245,0.028045390347305226,0.33980582524271846,0.41262135922330095,0.4868478374940137,0.014579889440073619,0.4864726202469935
factors_finance,text_only,overall,all,all,10,1123,0.3924309884238647,0.023559860276113478,0.3668744434550312,0.42920747996438113,0.4891635065612471,0.011335786472814397,0.48924597296249034
factors_finance,text_only,overall_non_sentiment,all,non_sentiment,10,917,0.3948745910577972,0.02318147983233806,0.37295528898582336,0.43293347873500543,0.4896837113898732,0.010610985804507252,0.4896403357099139
factors_finance,text_only,subset,hard_case,all,10,123,0.27967479674796747,0.045702339260342104,0.22764227642276422,0.36585365853658536,0.4791247390389035,0.022424554370460904,0.47796651744116686
factors_finance,text_only,subset,main,all,10,1000,0.4063,0.021689987449409816,0.384,0.438,0.4903982749664954,0.009974569885606606,0.4906122733918895
factors_finance,text_only,subset_category,hard_case,causal,10,43,0.27674418604651163,0.062450028096504885,0.20930232558139536,0.3953488372093023,0.4786011904806536,0.02295914945204367,0.47865604158545205
factors_finance,text_only,subset_category,hard_case,flipping,10,7,0.1,0.11761037176408065,0.0,0.2857142857142857,0.47042209497157106,0.0339356873017216,0.48092752461476385
factors_finance,text_only,subset_category,hard_case,numerical,10,20,0.33499999999999996,0.033747427885527655,0.3,0.4,0.4808821766140249,0.01936396726129713,0.47796880549070675
factors_finance,text_only,subset_category,hard_case,sentiment,10,53,0.2849056603773585,0.03922632988556647,0.22641509433962265,0.3584905660377358,0.4800357266799158,0.021749333474251165,0.4776831367340583
factors_finance,text_only,subset_category,main,causal,10,188,0.3345744680851064,0.03585332610662223,0.2925531914893617,0.40425531914893614,0.48417511174742023,0.017309223088299904,0.4835549828959563
factors_finance,text_only,subset_category,main,flipping,10,306,0.4549019607843137,0.019105151432151433,0.434640522875817,0.4803921568627451,0.4934525809703148,0.0065569501118889,0.49399752071198133
factors_finance,text_only,subset_category,main,numerical,10,353,0.39858356940509915,0.03194008243556357,0.36827195467422097,0.45892351274787535,0.4915810288139739,0.008341206322543485,0.4917573978728602
factors_finance,text_only,subset_category,main,sentiment,10,153,0.4150326797385621,0.02672732929495707,0.3790849673202614,0.4444444444444444,0.4892075882988974,0.012145363167662529,0.4915135012788997
factors_finance,text_only,subset_non_sentiment,hard_case,non_sentiment,10,70,0.2757142857142857,0.053047704539556664,0.22857142857142856,0.37142857142857144,0.47843499125356576,0.023004171732851693,0.4789361270867885
factors_finance,text_only,subset_non_sentiment,main,non_sentiment,10,847,0.40472255017709563,0.021424225359907227,0.38488783943329397,0.4380165289256198,0.49061335768213,0.009592984630988248,0.49039581181980074
liar2_finance,emotion_aware,category,all,causal,10,231,0.34545454545454546,0.04750083714058944,0.2813852813852814,0.3939393939393939,0.45112692732533854,0.014874117108896282,0.446354295828284
liar2_finance,emotion_aware,category,all,flipping,10,313,0.3795527156549521,0.04552762363603977,0.33226837060702874,0.45686900958466453,0.4587311883745132,0.029161184885241158,0.44995476186447514
liar2_finance,emotion_aware,category,all,numerical,10,373,0.23672922252010725,0.03764081007746263,0.18498659517426275,0.2949061662198391,0.420971275512909,0.025457854932260153,0.4138317772235288
liar2_finance,emotion_aware,category,all,sentiment,10,206,0.28640776699029125,0.04934611871189937,0.23786407766990292,0.3737864077669903,0.43586043215629633,0.02751924603602985,0.432213035208781
liar2_finance,emotion_aware,overall,all,all,10,1123,0.3080142475512021,0.03627439255404183,0.26714158504007124,0.37399821905609976,0.4404298459161959,0.0243905967817344,0.43143785609006446
liar2_finance,emotion_aware,overall_non_sentiment,all,non_sentiment,10,917,0.3128680479825518,0.034120826758445646,0.26717557251908397,0.37404580152671757,0.4414563445361951,0.02379257567864178,0.43102747016766296
liar2_finance,emotion_aware,subset,hard_case,all,10,123,0.21707317073170734,0.0268415837710881,0.17886178861788618,0.2601626016260163,0.4107314980218922,0.037303099307332846,0.3974949599268856
liar2_finance,emotion_aware,subset,main,all,10,1000,0.31920000000000004,0.038022800177437394,0.274,0.388,0.44408274270719517,0.02287918315648615,0.43666765337235763
liar2_finance,emotion_aware,subset_category,hard_case,causal,10,43,0.3186046511627907,0.0425298193002952,0.2558139534883721,0.37209302325581395,0.4424953560958779,0.01804240028902823,0.42934473409660623
liar2_finance,emotion_aware,subset_category,hard_case,flipping,10,7,0.4,0.09035079029052512,0.2857142857142857,0.5714285714285714,0.4571887522146869,0.03747396090866446,0.4740576334643044
liar2_finance,emotion_aware,subset_category,hard_case,numerical,10,20,0.005,0.015811388300841896,0.0,0.05,0.31972228801770664,0.06832814025174733,0.3254922553898779
liar2_finance,emotion_aware,subset_category,hard_case,sentiment,10,53,0.19056603773584907,0.04022208039074084,0.1509433962264151,0.2641509433962264,0.4131680550700575,0.04183790405156855,0.4081022693445684
liar2_finance,emotion_aware,subset_category,main,causal,10,188,0.35159574468085103,0.052324494490688114,0.2765957446808511,0.4148936170212766,0.453101169681013,0.014335494548279759,0.45105585349833577
liar2_finance,emotion_aware,subset_category,main,flipping,10,306,0.3790849673202614,0.04504591095454321,0.3300653594771242,0.45751633986928103,0.4587664728618296,0.028992409834233793,0.4493051305610285
liar2_finance,emotion_aware,subset_category,main,numerical,10,353,0.2498583569405099,0.03929414364736476,0.1954674220963173,0.3087818696883853,0.42670776205654654,0.02309624879125609,0.4210096946262369
liar2_finance,emotion_aware,subset_category,main,sentiment,10,153,0.31960784313725493,0.05340579894743967,0.26143790849673204,0.4117647058823529,0.4437211902319215,0.022682935499801927,0.44305464970544434
liar2_finance,emotion_aware,subset_non_sentiment,hard_case,non_sentiment,10,70,0.23714285714285716,0.022537446792760433,0.2,0.2571428571428571,0.40888667625685277,0.034045963623769215,0.3923945867707076
liar2_finance,emotion_aware,subset_non_sentiment,main,non_sentiment,10,847,0.3191263282172373,0.03581937480254016,0.27036599763872493,0.3837072018890201,0.4441480526584548,0.022975417261442702,0.4350128597659088
liar2_finance,text_only,category,all,causal,10,231,0.5077922077922078,0.012252773284475466,0.49783549783549785,0.5281385281385281,0.5013086920144841,0.007884367742623126,0.5007374053033219
liar2_finance,text_only,category,all,flipping,10,313,0.3846645367412141,0.04016476955509492,0.3610223642172524,0.46006389776357826,0.4607962262128888,0.025861765881694667,0.4488207503146137
liar2_finance,text_only,category,all,numerical,10,373,0.37533512064343166,0.029773603662122766,0.35924932975871315,0.4316353887399464,0.45778278741240125,0.022863027905161013,0.4562091286629252
liar2_finance,text_only,category,all,sentiment,10,206,0.4014563106796117,0.04577028957795405,0.3592233009708738,0.46116504854368934,0.46291088615970033,0.024865251718346963,0.4629293317239947
liar2_finance,text_only,overall,all,all,10,1123,0.409973285841496,0.03051142649757829,0.38824577025823687,0.46482635796972394,0.46851660633455383,0.020775956750212893,0.4631453190683542
liar2_finance,text_only,overall_non_sentiment,all,non_sentiment,10,917,0.41188658669574696,0.028687136385624597,0.39476553980370777,0.46564885496183206,0.4697759066137467,0.01987682191636716,0.46309853067992773
liar2_finance,text_only,subset,hard_case,all,10,123,0.32113821138211385,0.02999450355173262,0.2926829268292683,0.34959349593495936,0.4349051902122178,0.03565624607255243,0.43316755393570244
liar2_finance,text_only,subset,main,all,10,1000,0.42089999999999994,0.031589203500211535,0.4,0.479,0.47265081051760116,0.018977976980636937,0.4662974030743727
liar2_finance,text_only,subset_category,hard_case,causal,10,43,0.4767441860465116,0.012256890155691385,0.46511627906976744,0.4883720930232558,0.4840071548235002,0.01248164612485689,0.4913751922481081
