dataset,repetition,seed,model,accuracy,balanced_accuracy,precision,recall,f1,macro_f1
liar2_finance,1,11,text_only,0.65625,0.65625,0.6626016260162602,0.63671875,0.649402390438247,0.6561188197401964
liar2_finance,1,11,emotion_aware,0.65380859375,0.65380859375,0.6586102719033232,0.638671875,0.6484878532473971,0.653729256109028
liar2_finance,2,22,text_only,0.6572265625,0.6572265625,0.6636178861788617,0.6376953125,0.650398406374502,0.6570957549113889
liar2_finance,2,22,emotion_aware,0.66259765625,0.66259765625,0.6732570239334027,0.6318359375,0.6518891687657431,0.6622780756192523
liar2_finance,3,33,text_only,0.65087890625,0.65087890625,0.6568527918781726,0.6318359375,0.6441015430562469,0.6507522569138446
liar2_finance,3,33,emotion_aware,0.6572265625,0.6572265625,0.6684100418410042,0.6240234375,0.6454545454545455,0.6568482557140403
liar2_finance,4,44,text_only,0.66357421875,0.66357421875,0.676130389064143,0.6279296875,0.6511392405063291,0.6631462350575021
liar2_finance,4,44,emotion_aware,0.66845703125,0.66845703125,0.676200204290092,0.646484375,0.6610084872690963,0.6682968857750164
liar2_finance,5,55,text_only,0.66162109375,0.66162109375,0.6693961105424769,0.638671875,0.6536731634182908,0.6614427869597421
liar2_finance,5,55,emotion_aware,0.66650390625,0.66650390625,0.6774193548387096,0.6357421875,0.655919395465995,0.6661880255397241
liar2_finance,6,66,text_only,0.650390625,0.650390625,0.6527777777777778,0.642578125,0.6476377952755905,0.6503692852346945
liar2_finance,6,66,emotion_aware,0.65185546875,0.65185546875,0.6575481256332321,0.6337890625,0.6454500248632521,0.6517417990023695
liar2_finance,7,77,text_only,0.6484375,0.6484375,0.6529175050301811,0.6337890625,0.643211100099108,0.6483620466809303
liar2_finance,7,77,emotion_aware,0.658203125,0.658203125,0.6666666666666666,0.6328125,0.6492985971943888,0.6579826319305278
liar2_finance,8,88,text_only,0.64453125,0.64453125,0.6504065040650406,0.625,0.6374501992031872,0.6443955976858848
liar2_finance,8,88,emotion_aware,0.65234375,0.65234375,0.6591836734693878,0.630859375,0.6447105788423154,0.6521832052911386
liar2_finance,9,99,text_only,0.65673828125,0.65673828125,0.6629441624365482,0.6376953125,0.6500746640119462,0.6566137574971087
liar2_finance,9,99,emotion_aware,0.658203125,0.658203125,0.6708860759493671,0.62109375,0.6450304259634888,0.6577317854864525
liar2_finance,10,110,text_only,0.64013671875,0.64013671875,0.646878198567042,0.6171875,0.6316841579210395,0.639947090893694
liar2_finance,10,110,emotion_aware,0.65576171875,0.65576171875,0.6629213483146067,0.6337890625,0.6480279580629057,0.6555954410476974
factors_finance,1,11,text_only,0.6379310344827587,0.6379310344827587,0.644,0.6168582375478927,0.6301369863013698,0.637770181706032
factors_finance,1,11,emotion_aware,0.6091954022988506,0.6091954022988506,0.6126482213438735,0.5938697318007663,0.603112840466926,0.6091035900447838
factors_finance,2,22,text_only,0.6283524904214559,0.6283524904214559,0.6324110671936759,0.6130268199233716,0.622568093385214,0.6282651787680786
factors_finance,2,22,emotion_aware,0.6417624521072797,0.6417624521072797,0.6491935483870968,0.6168582375478927,0.6326129666011788,0.6415401281604025
factors_finance,3,33,text_only,0.5996168582375478,0.5996168582375478,0.5984848484848485,0.6053639846743295,0.6019047619047619,0.5996036333608588
factors_finance,3,33,emotion_aware,0.6053639846743295,0.6053639846743295,0.6070038910505836,0.5977011494252874,0.6023166023166023,0.6053408106640046
factors_finance,4,44,text_only,0.6226053639846744,0.6226053639846743,0.6212121212121212,0.6283524904214559,0.6247619047619047,0.6225928984310487
factors_finance,4,44,emotion_aware,0.6398467432950191,0.6398467432950192,0.642023346303502,0.632183908045977,0.637065637065637,0.6398255941982178
factors_finance,5,55,text_only,0.6053639846743295,0.6053639846743295,0.6131687242798354,0.5708812260536399,0.5912698412698413,0.6048941798941798
factors_finance,5,55,emotion_aware,0.6226053639846744,0.6226053639846744,0.6259842519685039,0.6091954022988506,0.6174757281553398,0.6225374860058362
factors_finance,6,66,text_only,0.6436781609195402,0.6436781609195402,0.654320987654321,0.6091954022988506,0.6309523809523809,0.6432539682539682
factors_finance,6,66,emotion_aware,0.632183908045977,0.632183908045977,0.6419753086419753,0.5977011494252874,0.6190476190476191,0.6317460317460317
factors_finance,7,77,text_only,0.6168582375478927,0.6168582375478927,0.6177606177606177,0.6130268199233716,0.6153846153846154,0.6168526130358192
factors_finance,7,77,emotion_aware,0.6187739463601533,0.6187739463601533,0.624,0.5977011494252874,0.6105675146771037,0.6186045828544993
factors_finance,8,88,text_only,0.6245210727969349,0.6245210727969348,0.631578947368421,0.5977011494252874,0.6141732283464567,0.6242507932777059
factors_finance,8,88,emotion_aware,0.6226053639846744,0.6226053639846743,0.625,0.6130268199233716,0.6189555125725339,0.6225707354134017
factors_finance,9,99,text_only,0.6379310344827587,0.6379310344827587,0.6395348837209303,0.632183908045977,0.6358381502890174,0.6379190751445087
factors_finance,9,99,emotion_aware,0.6245210727969349,0.6245210727969348,0.6294820717131474,0.6053639846743295,0.6171875,0.6243832236842105
factors_finance,10,110,text_only,0.6302681992337165,0.6302681992337165,0.6317829457364341,0.6245210727969349,0.628131021194605,0.6302559867877786
factors_finance,10,110,emotion_aware,0.6111111111111112,0.6111111111111112,0.6188524590163934,0.578544061302682,0.598019801980198,0.6106982126784106
