dataset,manipulation_category,examples,text_recall,emotion_recall,recall_change_emotion_minus_text,persistent_failure_examples,unanimous_failure_examples,probability_change_mean,recall_change_percentage_points
factors_finance,causal,231,0.3238095238095238,0.2389610389610389,-0.0848484848484848,22,0,-0.0500272109645913,-8.484848484848479
factors_finance,flipping,313,0.4469648562300319,0.3616613418530351,-0.0853035143769967,20,1,-0.0342787025374335,-8.53035143769967
factors_finance,numerical,373,0.3951742627345844,0.3219839142091152,-0.0731903485254691,19,2,-0.0341510484623505,-7.31903485254691
factors_finance,sentiment,206,0.3815533980582524,0.3645631067961165,-0.0169902912621359,9,0,-0.022671277783418,-1.6990291262135901
liar2_finance,causal,231,0.5077922077922078,0.3454545454545454,-0.1623376623376623,29,12,-0.0501817646891457,-16.233766233766232
liar2_finance,flipping,313,0.384664536741214,0.3795527156549521,-0.0051118210862619,5,1,-0.0020650378383755,-0.5111821086261901
liar2_finance,numerical,373,0.3753351206434316,0.2367292225201072,-0.1386058981233243,44,11,-0.0368115118994922,-13.86058981233243
liar2_finance,sentiment,206,0.4014563106796116,0.2864077669902912,-0.1150485436893203,17,8,-0.0270504540034039,-11.50485436893203
