dataset,repetition,seed,model,best_epoch,duration_seconds,accuracy,balanced_accuracy,precision,recall,f1,macro_f1,loss
liar2_finance,1,11,text_only,2,438.90451097488403,0.7009803921568627,0.7009803921568627,0.7662337662337663,0.5784313725490197,0.659217877094972,0.6964211656217218,0.587449450118869
liar2_finance,1,11,emotion_aware,3,564.1016499996185,0.696078431372549,0.696078431372549,0.6818181818181818,0.7352941176470589,0.7075471698113207,0.6956103195995379,0.6017869430429795
liar2_finance,2,22,text_only,3,548.2814509868622,0.7156862745098039,0.7156862745098039,0.6896551724137931,0.7843137254901961,0.7339449541284404,0.7143408981168518,0.6206779620226692
liar2_finance,2,22,emotion_aware,3,541.9875581264496,0.7009803921568627,0.7009803921568627,0.6722689075630253,0.7843137254901961,0.7239819004524887,0.6988893459481695,0.6964011215696148
liar2_finance,3,33,text_only,5,530.3629670143127,0.6225490196078431,0.6225490196078431,0.6262626262626263,0.6078431372549019,0.6169154228855721,0.6224673732785349,1.0882629810595046
liar2_finance,3,33,emotion_aware,5,528.8669738769531,0.6176470588235294,0.6176470588235294,0.6132075471698113,0.6372549019607843,0.625,0.6174999999999999,1.0431306525772692
liar2_finance,4,44,text_only,2,424.6391248703003,0.6911764705882353,0.6911764705882353,0.76,0.5588235294117647,0.6440677966101694,0.6856702619414483,0.5878873619378782
liar2_finance,4,44,emotion_aware,3,523.5567607879639,0.6862745098039216,0.6862745098039216,0.7261904761904762,0.5980392156862745,0.6559139784946236,0.6838128451031676,0.6186707954780728
liar2_finance,5,55,text_only,4,522.6830129623413,0.7009803921568627,0.7009803921568627,0.7252747252747253,0.6470588235294118,0.6839378238341969,0.7001084468008194,0.8214483494852104
liar2_finance,5,55,emotion_aware,4,523.6495220661163,0.7009803921568627,0.7009803921568627,0.711340206185567,0.6764705882352942,0.6934673366834171,0.7008006539876416,0.8162688180512073
liar2_finance,6,66,text_only,4,526.3252329826355,0.6617647058823529,0.6617647058823529,0.6853932584269663,0.5980392156862745,0.6387434554973822,0.6603855526334838,0.8095037399553785
liar2_finance,6,66,emotion_aware,4,532.0801849365234,0.7009803921568627,0.7009803921568627,0.7157894736842105,0.6666666666666666,0.6903553299492385,0.7006279019414439,0.6959601173213884
liar2_finance,7,77,text_only,5,520.423321723938,0.6715686274509803,0.6715686274509804,0.6699029126213593,0.6764705882352942,0.6731707317073171,0.6715607353117866,0.8389565944671631
liar2_finance,7,77,emotion_aware,4,519.8234329223633,0.6813725490196079,0.6813725490196079,0.6831683168316832,0.6764705882352942,0.6798029556650246,0.6813648924666587,0.7474149699304619
liar2_finance,8,88,text_only,3,519.4970018863678,0.6862745098039216,0.6862745098039216,0.6610169491525424,0.7647058823529411,0.7090909090909091,0.6843326885880077,0.6973613757713168
liar2_finance,8,88,emotion_aware,1,312.8868260383606,0.6274509803921569,0.6274509803921569,0.5984848484848485,0.7745098039215687,0.6752136752136753,0.6192160330091365,0.6326231231876448
liar2_finance,9,99,text_only,4,520.1897737979889,0.7156862745098039,0.7156862745098039,0.7156862745098039,0.7156862745098039,0.7156862745098039,0.7156862745098039,0.6948350340712304
liar2_finance,9,99,emotion_aware,2,416.21144700050354,0.6862745098039216,0.6862745098039216,0.7065217391304348,0.6372549019607843,0.6701030927835051,0.6855188361113786,0.5777428454043818
liar2_finance,10,110,text_only,3,527.6608502864838,0.6813725490196079,0.6813725490196079,0.7761194029850746,0.5098039215686274,0.6153846153846154,0.6717090440939814,0.7452923807443357
liar2_finance,10,110,emotion_aware,3,523.1847701072693,0.6715686274509803,0.6715686274509803,0.7966101694915254,0.46078431372549017,0.5838509316770186,0.6562979354741368,0.7339722689460305
factors_finance,1,11,text_only,1,81.86303687095642,0.5576923076923077,0.5576923076923077,0.5555555555555556,0.5769230769230769,0.5660377358490566,0.557528671846097,0.6698359480270972
factors_finance,1,11,emotion_aware,5,134.60849690437317,0.5961538461538461,0.5961538461538461,0.6,0.5769230769230769,0.5882352941176471,0.5960044395116537,0.8136602869400611
factors_finance,2,22,text_only,3,134.35489416122437,0.6153846153846154,0.6153846153846154,0.6363636363636364,0.5384615384615384,0.5833333333333334,0.6130952380952381,0.6523102155098548
factors_finance,2,22,emotion_aware,5,134.70918011665344,0.6346153846153846,0.6346153846153846,0.64,0.6153846153846154,0.6274509803921569,0.6344802071772104,0.6872764917520376
factors_finance,3,33,text_only,2,107.54521083831787,0.5384615384615384,0.5384615384615385,0.5454545454545454,0.46153846153846156,0.5,0.5357142857142857,0.7088255882263184
factors_finance,3,33,emotion_aware,1,80.79859113693237,0.5769230769230769,0.5769230769230769,0.5769230769230769,0.5769230769230769,0.5769230769230769,0.5769230769230769,0.6773023376098046
factors_finance,4,44,text_only,2,107.64623880386353,0.5961538461538461,0.5961538461538461,0.5925925925925926,0.6153846153846154,0.6037735849056604,0.5960044395116537,0.7065515151390662
factors_finance,4,44,emotion_aware,3,134.25354027748108,0.5961538461538461,0.5961538461538461,0.631578947368421,0.46153846153846156,0.5333333333333333,0.5887005649717514,0.6832636824020972
factors_finance,5,55,text_only,2,107.56191277503967,0.5192307692307693,0.5192307692307692,0.5217391304347826,0.46153846153846156,0.4897959183673469,0.5176252319109462,0.7001892695060143
factors_finance,5,55,emotion_aware,1,80.87434601783752,0.5769230769230769,0.5769230769230769,0.5769230769230769,0.5769230769230769,0.5769230769230769,0.5769230769230769,0.7066144117942224
factors_finance,6,66,text_only,1,80.8921480178833,0.5576923076923077,0.5576923076923077,0.5483870967741935,0.6538461538461539,0.5964912280701754,0.5535647629712579,0.6761713394751916
factors_finance,6,66,emotion_aware,1,80.82735419273376,0.5576923076923077,0.5576923076923077,0.5555555555555556,0.5769230769230769,0.5660377358490566,0.557528671846097,0.6698161913798406
factors_finance,7,77,text_only,1,80.87434792518616,0.4423076923076923,0.4423076923076923,0.45161290322580644,0.5384615384615384,0.49122807017543857,0.43710339678984694,0.7108076673287612
factors_finance,7,77,emotion_aware,2,107.66344904899597,0.5192307692307693,0.5192307692307692,0.5135135135135135,0.7307692307692307,0.6031746031746031,0.4967092528068138,0.7556393192364619
factors_finance,8,88,text_only,4,138.31570982933044,0.4423076923076923,0.4423076923076923,0.4482758620689655,0.5,0.4727272727272727,0.44044526901669756,0.8371947224323566
factors_finance,8,88,emotion_aware,3,139.5916929244995,0.5192307692307693,0.5192307692307692,0.5185185185185185,0.5384615384615384,0.5283018867924528,0.5190529041805401,0.7681483534666208
factors_finance,9,99,text_only,2,110.94052600860596,0.5,0.5,0.5,0.5,0.5,0.5,0.7118954658508301
factors_finance,9,99,emotion_aware,1,82.35834097862244,0.6153846153846154,0.6153846153846154,0.75,0.34615384615384615,0.47368421052631576,0.5853269537480064,0.7022610856936529
factors_finance,10,110,text_only,2,110.92745399475098,0.6153846153846154,0.6153846153846154,0.6,0.6923076923076923,0.6428571428571429,0.6130952380952381,0.6383743102733905
factors_finance,10,110,emotion_aware,1,83.47647833824158,0.5192307692307693,0.5192307692307693,0.5161290322580645,0.6153846153846154,0.5614035087719298,0.5147443075774543,0.6778916166378901
