dataset,metric,n_repetitions,text_only_mean,text_only_std,emotion_aware_mean,emotion_aware_std,mean_difference_emotion_minus_text,median_difference_emotion_minus_text,wilcoxon_statistic,p_value,rank_biserial,p_value_holm,significant_holm_0_05
liar2_finance,macro_f1,10,0.6528243631574986,0.007389012398806277,0.6582575361515248,0.005667925294909166,0.005433172994026037,0.005166485712688851,3.0,0.009765625,0.8909090909090909,0.0390625,True
liar2_finance,balanced_accuracy,10,0.652978515625,0.007437456517310595,0.65849609375,0.005709156580310873,0.005517578125,0.005126953125,3.0,0.009765625,0.8909090909090909,0.0390625,True
factors_finance,macro_f1,10,0.6245658508659979,0.014226517254854491,0.6226350395449799,0.012382426697047417,-0.0019308113210179778,3.59559771879181e-05,25.0,0.845703125,-0.09090909090909091,1.0,False
factors_finance,balanced_accuracy,10,0.6247126436781609,0.014234517171302249,0.6227969348659004,0.012397134442622708,-0.0019157088122605192,0.0,24.5,0.787109375,-0.10909090909090909,1.0,False
