dataset,repetition,seed,model,parameter_index,ngram_range,min_df,C,inner_macro_f1,inner_balanced_accuracy,selected
liar2_finance,3,33,text_only,12,1-2,2,10.0,0.6401359465655134,0.64013671875,False
liar2_finance,3,33,emotion_aware,1,1-1,1,0.1,0.6154247558192388,0.61572265625,False
liar2_finance,3,33,emotion_aware,2,1-1,1,1.0,0.649822110902924,0.64990234375,False
liar2_finance,3,33,emotion_aware,3,1-1,1,10.0,0.6376949669789953,0.6376953125,False
liar2_finance,3,33,emotion_aware,4,1-1,2,0.1,0.6193928816044457,0.61962890625,False
liar2_finance,3,33,emotion_aware,5,1-1,2,1.0,0.6508088899317819,0.65087890625,False
liar2_finance,3,33,emotion_aware,6,1-1,2,10.0,0.63621997418806,0.63623046875,False
liar2_finance,3,33,emotion_aware,7,1-2,1,0.1,0.6008068720110604,0.60107421875,False
liar2_finance,3,33,emotion_aware,8,1-2,1,1.0,0.6494810662400523,0.64990234375,False
liar2_finance,3,33,emotion_aware,9,1-2,1,10.0,0.6565082387071917,0.65673828125,True
liar2_finance,3,33,emotion_aware,10,1-2,2,0.1,0.6121415657334217,0.6123046875,False
liar2_finance,3,33,emotion_aware,11,1-2,2,1.0,0.649822110902924,0.64990234375,False
liar2_finance,3,33,emotion_aware,12,1-2,2,10.0,0.6425290338333817,0.642578125,False
liar2_finance,4,44,text_only,1,1-1,1,0.1,0.6440408470681135,0.64404296875,False
liar2_finance,4,44,text_only,2,1-1,1,1.0,0.6415892574436836,0.6416015625,False
liar2_finance,4,44,text_only,3,1-1,1,10.0,0.6317853709158057,0.6318359375,False
liar2_finance,4,44,text_only,4,1-1,2,0.1,0.6469725720817022,0.64697265625,False
liar2_finance,4,44,text_only,5,1-1,2,1.0,0.6435206909838661,0.6435546875,False
liar2_finance,4,44,text_only,6,1-1,2,10.0,0.628883598852469,0.62890625,False
liar2_finance,4,44,text_only,7,1-2,1,0.1,0.6523405855492882,0.65283203125,False
liar2_finance,4,44,text_only,8,1-2,1,1.0,0.6543697542980711,0.65478515625,False
liar2_finance,4,44,text_only,9,1-2,1,10.0,0.6572047746177647,0.65771484375,True
liar2_finance,4,44,text_only,10,1-2,2,0.1,0.6468695199875796,0.64697265625,False
liar2_finance,4,44,text_only,11,1-2,2,1.0,0.652730606792765,0.65283203125,False
liar2_finance,4,44,text_only,12,1-2,2,10.0,0.6497479400494459,0.64990234375,False
liar2_finance,4,44,emotion_aware,1,1-1,1,0.1,0.6223056451218479,0.62255859375,False
liar2_finance,4,44,emotion_aware,2,1-1,1,1.0,0.6562027866375693,0.65625,False
liar2_finance,4,44,emotion_aware,3,1-1,1,10.0,0.6411063503299658,0.64111328125,False
liar2_finance,4,44,emotion_aware,4,1-1,2,0.1,0.6242407150657353,0.62451171875,False
liar2_finance,4,44,emotion_aware,5,1-1,2,1.0,0.6625795556068448,0.66259765625,False
liar2_finance,4,44,emotion_aware,6,1-1,2,10.0,0.6416012207042892,0.6416015625,False
liar2_finance,4,44,emotion_aware,7,1-2,1,0.1,0.6027999693695203,0.60302734375,False
liar2_finance,4,44,emotion_aware,8,1-2,1,1.0,0.6630471354139927,0.66357421875,False
liar2_finance,4,44,emotion_aware,9,1-2,1,10.0,0.6621445567922488,0.66259765625,False
liar2_finance,4,44,emotion_aware,10,1-2,2,0.1,0.6140631097651155,0.6142578125,False
liar2_finance,4,44,emotion_aware,11,1-2,2,1.0,0.6634868472043527,0.66357421875,True
liar2_finance,4,44,emotion_aware,12,1-2,2,10.0,0.6561660561660562,0.65625,False
liar2_finance,5,55,text_only,1,1-1,1,0.1,0.649892243614549,0.64990234375,False
liar2_finance,5,55,text_only,2,1-1,1,1.0,0.652818042337693,0.65283203125,False
liar2_finance,5,55,text_only,3,1-1,1,10.0,0.6425658534724474,0.642578125,False
liar2_finance,5,55,text_only,4,1-1,2,0.1,0.6552523957761094,0.6552734375,False
liar2_finance,5,55,text_only,5,1-1,2,1.0,0.6518367918200874,0.65185546875,False
liar2_finance,5,55,text_only,6,1-1,2,10.0,0.6352078974193894,0.63525390625,False
liar2_finance,5,55,text_only,7,1-2,1,0.1,0.6496309401809329,0.64990234375,False
liar2_finance,5,55,text_only,8,1-2,1,1.0,0.6628685943315202,0.6630859375,True
liar2_finance,5,55,text_only,9,1-2,1,10.0,0.6623541405857257,0.66259765625,False
liar2_finance,5,55,text_only,10,1-2,2,0.1,0.6469685319562115,0.64697265625,False
liar2_finance,5,55,text_only,11,1-2,2,1.0,0.6606308571374073,0.66064453125,False
liar2_finance,5,55,text_only,12,1-2,2,10.0,0.6528081086977515,0.65283203125,False
liar2_finance,5,55,emotion_aware,1,1-1,1,0.1,0.6165140726559468,0.61669921875,False
liar2_finance,5,55,emotion_aware,2,1-1,1,1.0,0.6542015688451732,0.654296875,False
liar2_finance,5,55,emotion_aware,3,1-1,1,10.0,0.6381455474344297,0.63818359375,False
liar2_finance,5,55,emotion_aware,4,1-1,2,0.1,0.6195047144780446,0.61962890625,False
liar2_finance,5,55,emotion_aware,5,1-1,2,1.0,0.6542569781249553,0.654296875,False
liar2_finance,5,55,emotion_aware,6,1-1,2,10.0,0.6327774789313251,0.6328125,False
liar2_finance,5,55,emotion_aware,7,1-2,1,0.1,0.6018228475229508,0.60205078125,False
liar2_finance,5,55,emotion_aware,8,1-2,1,1.0,0.6569321049637483,0.6572265625,False
liar2_finance,5,55,emotion_aware,9,1-2,1,10.0,0.6633314079067512,0.66357421875,True
liar2_finance,5,55,emotion_aware,10,1-2,2,0.1,0.6141249648211484,0.6142578125,False
liar2_finance,5,55,emotion_aware,11,1-2,2,1.0,0.6624990848014073,0.66259765625,False
liar2_finance,5,55,emotion_aware,12,1-2,2,10.0,0.6557320879182191,0.65576171875,False
liar2_finance,6,66,text_only,1,1-1,1,0.1,0.6430595130492585,0.64306640625,False
liar2_finance,6,66,text_only,2,1-1,1,1.0,0.6488346054280546,0.64892578125,False
liar2_finance,6,66,text_only,3,1-1,1,10.0,0.6322399574754558,0.63232421875,False
liar2_finance,6,66,text_only,4,1-1,2,0.1,0.6406236290879406,0.640625,False
liar2_finance,6,66,text_only,5,1-1,2,1.0,0.643961393093768,0.64404296875,False
liar2_finance,6,66,text_only,6,1-1,2,10.0,0.624919516459659,0.625,False
liar2_finance,6,66,text_only,7,1-2,1,0.1,0.6408727673538916,0.64111328125,False
liar2_finance,6,66,text_only,8,1-2,1,1.0,0.6441154875490642,0.64453125,False
liar2_finance,6,66,text_only,9,1-2,1,10.0,0.6489306028275328,0.6494140625,True
liar2_finance,6,66,text_only,10,1-2,2,0.1,0.642536875688513,0.642578125,False
liar2_finance,6,66,text_only,11,1-2,2,1.0,0.648389213606605,0.6484375,False
liar2_finance,6,66,text_only,12,1-2,2,10.0,0.6356740876399778,0.6357421875,False
liar2_finance,6,66,emotion_aware,1,1-1,1,0.1,0.6202903343806216,0.62060546875,False
liar2_finance,6,66,emotion_aware,2,1-1,1,1.0,0.6535765878284479,0.65380859375,False
liar2_finance,6,66,emotion_aware,3,1-1,1,10.0,0.6298136171998703,0.6298828125,False
liar2_finance,6,66,emotion_aware,4,1-1,2,0.1,0.6296440500047715,0.6298828125,False
liar2_finance,6,66,emotion_aware,5,1-1,2,1.0,0.6521526717557252,0.65234375,False
liar2_finance,6,66,emotion_aware,6,1-1,2,10.0,0.637168882245319,0.63720703125,False
liar2_finance,6,66,emotion_aware,7,1-2,1,0.1,0.6056929568089667,0.60595703125,False
liar2_finance,6,66,emotion_aware,8,1-2,1,1.0,0.6523146858106003,0.65283203125,False
liar2_finance,6,66,emotion_aware,9,1-2,1,10.0,0.6514824640228745,0.65185546875,False
liar2_finance,6,66,emotion_aware,10,1-2,2,0.1,0.6150049000382651,0.615234375,False
liar2_finance,6,66,emotion_aware,11,1-2,2,1.0,0.6540563650991031,0.654296875,True
liar2_finance,6,66,emotion_aware,12,1-2,2,10.0,0.6464570646498076,0.646484375,False
liar2_finance,7,77,text_only,1,1-1,1,0.1,0.650854849112366,0.65087890625,False
liar2_finance,7,77,text_only,2,1-1,1,1.0,0.6434781862181654,0.6435546875,False
liar2_finance,7,77,text_only,3,1-1,1,10.0,0.6283434478854351,0.62841796875,False
liar2_finance,7,77,text_only,4,1-1,2,0.1,0.6498782193196734,0.64990234375,False
liar2_finance,7,77,text_only,5,1-1,2,1.0,0.6386549893326543,0.638671875,False
liar2_finance,7,77,text_only,6,1-1,2,10.0,0.610314399185103,0.6103515625,False
liar2_finance,7,77,text_only,7,1-2,1,0.1,0.6566210673843323,0.6572265625,False
liar2_finance,7,77,text_only,8,1-2,1,1.0,0.6636233333046857,0.6640625,False
liar2_finance,7,77,text_only,9,1-2,1,10.0,0.6636695816397751,0.6640625,True
liar2_finance,7,77,text_only,10,1-2,2,0.1,0.6600732600732601,0.66015625,False
liar2_finance,7,77,text_only,11,1-2,2,1.0,0.6601403683453073,0.66015625,False
liar2_finance,7,77,text_only,12,1-2,2,10.0,0.6396205990491133,0.6396484375,False
liar2_finance,7,77,emotion_aware,1,1-1,1,0.1,0.6188756564651137,0.619140625,False
liar2_finance,7,77,emotion_aware,2,1-1,1,1.0,0.6492371048244974,0.6494140625,False
liar2_finance,7,77,emotion_aware,3,1-1,1,10.0,0.632743852419924,0.6328125,False
liar2_finance,7,77,emotion_aware,4,1-1,2,0.1,0.6178783575366102,0.6181640625,False
liar2_finance,7,77,emotion_aware,5,1-1,2,1.0,0.6560764927527105,0.65625,False
liar2_finance,7,77,emotion_aware,6,1-1,2,10.0,0.619621560417746,0.61962890625,False
liar2_finance,7,77,emotion_aware,7,1-2,1,0.1,0.6038126279286278,0.60400390625,False
liar2_finance,7,77,emotion_aware,8,1-2,1,1.0,0.6525436650509936,0.65283203125,False
liar2_finance,7,77,emotion_aware,9,1-2,1,10.0,0.6628515422576006,0.6630859375,True
liar2_finance,7,77,emotion_aware,10,1-2,2,0.1,0.6124713451271981,0.61279296875,False
liar2_finance,7,77,emotion_aware,11,1-2,2,1.0,0.6584959146239786,0.65869140625,False
liar2_finance,7,77,emotion_aware,12,1-2,2,10.0,0.6405756405756406,0.640625,False
liar2_finance,8,88,text_only,1,1-1,1,0.1,0.6347569169263106,0.634765625,False
liar2_finance,8,88,text_only,2,1-1,1,1.0,0.6445281989610583,0.64453125,False
liar2_finance,8,88,text_only,3,1-1,1,10.0,0.6274157340877418,0.62744140625,False
liar2_finance,8,88,text_only,4,1-1,2,0.1,0.6401366329518874,0.64013671875,False
liar2_finance,8,88,text_only,5,1-1,2,1.0,0.6440238727024455,0.64404296875,False
liar2_finance,8,88,text_only,6,1-1,2,10.0,0.6205901812888712,0.62060546875,False
liar2_finance,8,88,text_only,7,1-2,1,0.1,0.6422502541487092,0.642578125,False
liar2_finance,8,88,text_only,8,1-2,1,1.0,0.6567538763021281,0.6572265625,False
liar2_finance,8,88,text_only,9,1-2,1,10.0,0.658520225005757,0.6591796875,True
liar2_finance,8,88,text_only,10,1-2,2,0.1,0.6493926631264115,0.6494140625,False
liar2_finance,8,88,text_only,11,1-2,2,1.0,0.6527882397124309,0.65283203125,False
liar2_finance,8,88,text_only,12,1-2,2,10.0,0.6444647933001393,0.64453125,False
liar2_finance,8,88,emotion_aware,1,1-1,1,0.1,0.6042563058768969,0.6044921875,False
liar2_finance,8,88,emotion_aware,2,1-1,1,1.0,0.6507522569138446,0.65087890625,False
liar2_finance,8,88,emotion_aware,3,1-1,1,10.0,0.6425440353427261,0.642578125,False
liar2_finance,8,88,emotion_aware,4,1-1,2,0.1,0.6086806238885331,0.60888671875,False
liar2_finance,8,88,emotion_aware,5,1-1,2,1.0,0.6483288369590519,0.6484375,False
liar2_finance,8,88,emotion_aware,6,1-1,2,10.0,0.6249824754155116,0.625,False
liar2_finance,8,88,emotion_aware,7,1-2,1,0.1,0.5896183206106871,0.58984375,False
liar2_finance,8,88,emotion_aware,8,1-2,1,1.0,0.6547980579334792,0.6552734375,False
liar2_finance,8,88,emotion_aware,9,1-2,1,10.0,0.6684393911608288,0.6689453125,True
liar2_finance,8,88,emotion_aware,10,1-2,2,0.1,0.598927456879659,0.59912109375,False
liar2_finance,8,88,emotion_aware,11,1-2,2,1.0,0.6570957549113889,0.6572265625,False
liar2_finance,8,88,emotion_aware,12,1-2,2,10.0,0.6507102699987286,0.65087890625,False
liar2_finance,9,99,text_only,1,1-1,1,0.1,0.6455047698430334,0.6455078125,False
liar2_finance,9,99,text_only,2,1-1,1,1.0,0.6440408470681135,0.64404296875,False
liar2_finance,9,99,text_only,3,1-1,1,10.0,0.6201041448108799,0.6201171875,False
liar2_finance,9,99,text_only,4,1-1,2,0.1,0.6464830264397676,0.646484375,False
liar2_finance,9,99,text_only,5,1-1,2,1.0,0.6440408470681135,0.64404296875,False
liar2_finance,9,99,text_only,6,1-1,2,10.0,0.6176735024064923,0.61767578125,False
liar2_finance,9,99,text_only,7,1-2,1,0.1,0.6468445898583352,0.64697265625,False
liar2_finance,9,99,text_only,8,1-2,1,1.0,0.6488346054280546,0.64892578125,True
liar2_finance,9,99,text_only,9,1-2,1,10.0,0.6379031055426378,0.63818359375,False
liar2_finance,9,99,text_only,10,1-2,2,0.1,0.6479484633293557,0.64794921875,False
liar2_finance,9,99,text_only,11,1-2,2,1.0,0.6396484375,0.6396484375,False
liar2_finance,9,99,text_only,12,1-2,2,10.0,0.6327900872856009,0.6328125,False
liar2_finance,9,99,emotion_aware,1,1-1,1,0.1,0.6194284719215571,0.61962890625,False
liar2_finance,9,99,emotion_aware,2,1-1,1,1.0,0.6493659102354754,0.6494140625,False
liar2_finance,9,99,emotion_aware,3,1-1,1,10.0,0.6298655161002054,0.6298828125,False
liar2_finance,9,99,emotion_aware,4,1-1,2,0.1,0.6184513948276459,0.61865234375,False
liar2_finance,9,99,emotion_aware,5,1-1,2,1.0,0.6503892913409857,0.650390625,True
liar2_finance,9,99,emotion_aware,6,1-1,2,10.0,0.6215422392195453,0.62158203125,False
liar2_finance,9,99,emotion_aware,7,1-2,1,0.1,0.6048650645504174,0.60498046875,False
liar2_finance,9,99,emotion_aware,8,1-2,1,1.0,0.6494067508281851,0.64990234375,False
liar2_finance,9,99,emotion_aware,9,1-2,1,10.0,0.6460942124458192,0.646484375,False
liar2_finance,9,99,emotion_aware,10,1-2,2,0.1,0.6121711671746731,0.6123046875,False
liar2_finance,9,99,emotion_aware,11,1-2,2,1.0,0.6473519726172714,0.6474609375,False
liar2_finance,9,99,emotion_aware,12,1-2,2,10.0,0.6386594693573922,0.638671875,False
liar2_finance,10,110,text_only,1,1-1,1,0.1,0.6406195162890058,0.640625,False
liar2_finance,10,110,text_only,2,1-1,1,1.0,0.6464830264397676,0.646484375,False
liar2_finance,10,110,text_only,3,1-1,1,10.0,0.6259765625,0.6259765625,False
liar2_finance,10,110,text_only,4,1-1,2,0.1,0.6411063503299658,0.64111328125,False
liar2_finance,10,110,text_only,5,1-1,2,1.0,0.6425750571971081,0.642578125,False
liar2_finance,10,110,text_only,6,1-1,2,10.0,0.6239717978848414,0.6240234375,False
liar2_finance,10,110,text_only,7,1-2,1,0.1,0.6463211244814386,0.646484375,False
liar2_finance,10,110,text_only,8,1-2,1,1.0,0.6496851041211651,0.64990234375,False
liar2_finance,10,110,text_only,9,1-2,1,10.0,0.6483164236344643,0.6484375,False
liar2_finance,10,110,text_only,10,1-2,2,0.1,0.6469658384878438,0.64697265625,False
liar2_finance,10,110,text_only,11,1-2,2,1.0,0.6538085112115172,0.65380859375,True
liar2_finance,10,110,text_only,12,1-2,2,10.0,0.6391580054641095,0.63916015625,False
liar2_finance,10,110,emotion_aware,1,1-1,1,0.1,0.6150566934963725,0.615234375,False
liar2_finance,10,110,emotion_aware,2,1-1,1,1.0,0.6473852745883775,0.6474609375,False
liar2_finance,10,110,emotion_aware,3,1-1,1,10.0,0.6254881919594268,0.62548828125,False
liar2_finance,10,110,emotion_aware,4,1-1,2,0.1,0.615502553374923,0.61572265625,False
liar2_finance,10,110,emotion_aware,5,1-1,2,1.0,0.6528081086977515,0.65283203125,False
liar2_finance,10,110,emotion_aware,6,1-1,2,10.0,0.6278785844003235,0.6279296875,False
liar2_finance,10,110,emotion_aware,7,1-2,1,0.1,0.6003664122137404,0.6005859375,False
liar2_finance,10,110,emotion_aware,8,1-2,1,1.0,0.6547726719226783,0.6552734375,False
liar2_finance,10,110,emotion_aware,9,1-2,1,10.0,0.6502435277898362,0.650390625,False
liar2_finance,10,110,emotion_aware,10,1-2,2,0.1,0.6121256530915224,0.6123046875,False
liar2_finance,10,110,emotion_aware,11,1-2,2,1.0,0.6576553418026385,0.65771484375,True
liar2_finance,10,110,emotion_aware,12,1-2,2,10.0,0.6406195162890058,0.640625,False
factors_finance,1,11,text_only,1,1-1,1,0.1,0.6378659129700663,0.6379310344827587,False
factors_finance,1,11,text_only,2,1-1,1,1.0,0.6359298142573966,0.6360153256704981,False
factors_finance,1,11,text_only,3,1-1,1,10.0,0.6398467432950191,0.6398467432950191,False
factors_finance,1,11,text_only,4,1-1,2,0.1,0.637929705706411,0.6379310344827587,False
factors_finance,1,11,text_only,5,1-1,2,1.0,0.63984145625367,0.6398467432950192,False
factors_finance,1,11,text_only,6,1-1,2,10.0,0.6302342737806422,0.6302681992337165,False
factors_finance,1,11,text_only,7,1-2,1,0.1,0.6397145206766917,0.6398467432950192,False
factors_finance,1,11,text_only,8,1-2,1,1.0,0.6417506193228737,0.6417624521072798,False
factors_finance,1,11,text_only,9,1-2,1,10.0,0.6551673517322372,0.6551724137931034,True
factors_finance,1,11,text_only,10,1-2,2,0.1,0.6492695410169516,0.6494252873563218,False
factors_finance,1,11,text_only,11,1-2,2,1.0,0.6513205220429555,0.6513409961685823,False
factors_finance,1,11,text_only,12,1-2,2,10.0,0.6455301264521813,0.6455938697318008,False
factors_finance,1,11,emotion_aware,1,1-1,1,0.1,0.5574566473988439,0.5574712643678161,False
factors_finance,1,11,emotion_aware,2,1-1,1,1.0,0.5862008220786847,0.5862068965517242,False
factors_finance,1,11,emotion_aware,3,1-1,1,10.0,0.6187725472781789,0.6187739463601533,False
factors_finance,1,11,emotion_aware,4,1-1,2,0.1,0.5670498084291188,0.5670498084291188,False
factors_finance,1,11,emotion_aware,5,1-1,2,1.0,0.6052191024436091,0.6053639846743295,False
factors_finance,1,11,emotion_aware,6,1-1,2,10.0,0.620684086905461,0.6206896551724138,False
factors_finance,1,11,emotion_aware,7,1-2,1,0.1,0.5593610992850537,0.5593869731800767,False
factors_finance,1,11,emotion_aware,8,1-2,1,1.0,0.5957720891824938,0.5957854406130267,False
factors_finance,1,11,emotion_aware,9,1-2,1,10.0,0.6283470346447446,0.6283524904214559,False
