pair_source,rows,pairs,genuine,misleading,mean_word_count,dataset_share_percentage
Africa Check,6,3,3,3,12.333333333333334,1.3215859030837005
Check Your Fact,2,1,1,1,19.5,0.44052863436123346
Dubawa,12,6,6,6,21.083333333333332,2.643171806167401
FactCheckNI,4,2,2,2,14.25,0.8810572687224669
Grass Fact Check,28,14,14,14,21.678571428571427,6.167400881057269
NewsMeter,2,1,1,1,17.5,0.44052863436123346
PolitiFact,320,160,160,160,18.76875,70.48458149779735
Snopes,80,40,40,40,17.0625,17.621145374449338
