dataset,repetition,seed,model,scope,subset,manipulation_category,rows,misleading_recall,mean_probability_misleading
liar2_finance,4,44,emotion_aware,category,all,causal,231,0.4675324675324675,0.4821154367162552
liar2_finance,4,44,emotion_aware,category,all,flipping,313,0.5782747603833865,0.5422281680253748
liar2_finance,4,44,emotion_aware,category,all,numerical,373,0.4718498659517426,0.4946763268384793
liar2_finance,4,44,emotion_aware,category,all,sentiment,206,0.45145631067961167,0.49243165556232904
liar2_finance,5,55,text_only,overall,all,all,1123,0.2983081032947462,0.3502600645913493
liar2_finance,5,55,text_only,overall_non_sentiment,all,non_sentiment,917,0.33696837513631406,0.37910457724256436
liar2_finance,5,55,text_only,subset,hard_case,all,123,0.15447154471544716,0.2639237964995266
liar2_finance,5,55,text_only,subset,main,all,1000,0.316,0.3608794255666435
liar2_finance,5,55,text_only,category,all,causal,231,0.16883116883116883,0.2699840184849449
liar2_finance,5,55,text_only,category,all,flipping,313,0.5239616613418531,0.4939369953418978
liar2_finance,5,55,text_only,category,all,numerical,373,0.28418230563002683,0.3503225456284054
liar2_finance,5,55,text_only,category,all,sentiment,206,0.1262135922330097,0.22185997672162008
liar2_finance,5,55,emotion_aware,overall,all,all,1123,0.2858414959928762,0.3706204793179608
liar2_finance,5,55,emotion_aware,overall_non_sentiment,all,non_sentiment,917,0.3075245365321701,0.3863650965042242
liar2_finance,5,55,emotion_aware,subset,hard_case,all,123,0.21951219512195122,0.3292487401182089
liar2_finance,5,55,emotion_aware,subset,main,all,1000,0.294,0.37570920323953033
liar2_finance,5,55,emotion_aware,category,all,causal,231,0.19480519480519481,0.3103233276668823
liar2_finance,5,55,emotion_aware,category,all,flipping,313,0.3801916932907348,0.4487912741046363
liar2_finance,5,55,emotion_aware,category,all,numerical,373,0.3163538873994638,0.3810735549827683
liar2_finance,5,55,emotion_aware,category,all,sentiment,206,0.18932038834951456,0.3005340037849343
liar2_finance,6,66,text_only,overall,all,all,1123,0.5084594835262689,0.5226934275250693
liar2_finance,6,66,text_only,overall_non_sentiment,all,non_sentiment,917,0.5517993456924755,0.5495585115380675
liar2_finance,6,66,text_only,subset,hard_case,all,123,0.3983739837398374,0.4424471693431459
liar2_finance,6,66,text_only,subset,main,all,1000,0.522,0.5325637172814459
liar2_finance,6,66,text_only,category,all,causal,231,0.36796536796536794,0.429050303382791
liar2_finance,6,66,text_only,category,all,flipping,313,0.6964856230031949,0.6426651483288588
liar2_finance,6,66,text_only,category,all,numerical,373,0.5442359249329759,0.5460599023379366
liar2_finance,6,66,text_only,category,all,sentiment,206,0.3155339805825243,0.40310467975847064
liar2_finance,6,66,emotion_aware,overall,all,all,1123,0.22439893143365983,0.31062456293368274
liar2_finance,6,66,emotion_aware,overall_non_sentiment,all,non_sentiment,917,0.25517993456924754,0.3351529607388842
liar2_finance,6,66,emotion_aware,subset,hard_case,all,123,0.18699186991869918,0.27519321172096867
liar2_finance,6,66,emotion_aware,subset,main,all,1000,0.229,0.3149826191328466
liar2_finance,6,66,emotion_aware,category,all,causal,231,0.12987012987012986,0.24451596572898426
liar2_finance,6,66,emotion_aware,category,all,flipping,313,0.33865814696485624,0.3849539960832737
liar2_finance,6,66,emotion_aware,category,all,numerical,373,0.26273458445040215,0.34949457410213614
liar2_finance,6,66,emotion_aware,category,all,sentiment,206,0.08737864077669903,0.2014374717328589
liar2_finance,7,77,text_only,overall,all,all,1123,0.28495102404274264,0.3756714861844986
liar2_finance,7,77,text_only,overall_non_sentiment,all,non_sentiment,917,0.32061068702290074,0.4003674402424706
liar2_finance,7,77,text_only,subset,hard_case,all,123,0.17886178861788618,0.3147390006579519
liar2_finance,7,77,text_only,subset,main,all,1000,0.298,0.38316618190426377
liar2_finance,7,77,text_only,category,all,causal,231,0.18614718614718614,0.3262834765855626
liar2_finance,7,77,text_only,category,all,flipping,313,0.5207667731629393,0.5092822306851943
liar2_finance,7,77,text_only,category,all,numerical,373,0.2359249329758713,0.354852872403793
liar2_finance,7,77,text_only,category,all,sentiment,206,0.1262135922330097,0.2657385256448851
liar2_finance,7,77,emotion_aware,overall,all,all,1123,0.4817453250222618,0.49034463931687794
liar2_finance,7,77,emotion_aware,overall_non_sentiment,all,non_sentiment,917,0.5288985823336968,0.5168444023040025
liar2_finance,7,77,emotion_aware,subset,hard_case,all,123,0.35772357723577236,0.4249349732587977
liar2_finance,7,77,emotion_aware,subset,main,all,1000,0.497,0.4983900282420218
liar2_finance,7,77,emotion_aware,category,all,causal,231,0.38961038961038963,0.4345451288280033
liar2_finance,7,77,emotion_aware,category,all,flipping,313,0.6996805111821086,0.6067379692944285
liar2_finance,7,77,emotion_aware,category,all,numerical,373,0.4718498659517426,0.4923791092877893
liar2_finance,7,77,emotion_aware,category,all,sentiment,206,0.27184466019417475,0.3723821021363284
