dataset,model,model_family,repetitions,macro_f1_mean,macro_f1_std,balanced_accuracy_mean,balanced_accuracy_std
factors_finance,emotion_aware,classical,10,0.6264561372363814,0.07131426450684325,0.6269230769230769,0.07091957274840681
factors_finance,emotion_aware,finbert,10,0.5646393455665681,0.042691284863406224,0.5711538461538461,0.04159263640386757
factors_finance,text_only,classical,10,0.6174600637598477,0.05180702754153494,0.6192307692307691,0.051121543685581736
factors_finance,text_only,finbert,10,0.5364176533951261,0.06394711615069713,0.5384615384615385,0.06345830087571581
liar2_finance,emotion_aware,classical,10,0.6642775454546295,0.03249699980081035,0.6647058823529411,0.03236779219454739
liar2_finance,emotion_aware,finbert,10,0.6739638763641271,0.03215225221915676,0.6769607843137255,0.030345561301310824
liar2_finance,text_only,classical,10,0.6607883977017622,0.03086105588653635,0.6612745098039216,0.03095532065136212
liar2_finance,text_only,finbert,10,0.6822682440896439,0.02781082394128882,0.6848039215686275,0.028021803939179375
