dataset,metric,n_repetitions,text_only_mean,text_only_std,emotion_aware_mean,emotion_aware_std,mean_difference_emotion_minus_text,median_difference_emotion_minus_text,wilcoxon_statistic,p_value,rank_biserial,p_value_holm,significant_holm_0_05
liar2_finance,macro_f1,10,0.6564191627004893,0.006322325342954202,0.6602600240792998,0.006980546100183404,0.003840861378810523,0.003947070963380428,8.0,0.048828125,0.7090909090909091,0.1953125,False
liar2_finance,balanced_accuracy,10,0.6564453125,0.006338050290372421,0.660400390625,0.0069712017405084824,0.003955078125,0.004150390625,7.0,0.06640625,0.6888888888888889,0.19921875,False
factors_finance,macro_f1,10,0.6242255061583353,0.010111788541177004,0.6159792091072198,0.010196639641423307,-0.008246297051115414,-0.013702228759444657,14.0,0.193359375,-0.4909090909090909,0.36328125,False
factors_finance,balanced_accuracy,10,0.6243295019157088,0.01011482964964042,0.6164750957854407,0.010446030675187,-0.007854406130268176,-0.013409961685823701,14.0,0.181640625,-0.4909090909090909,0.36328125,False
