dataset,classifier,representation,C,affect_weight,model_variant,macro_f1_mean,macro_f1_std,balanced_accuracy_mean,balanced_accuracy_std,accuracy_mean,precision_mean,recall_mean,f1_mean,folds,rank_within_dataset
factors_finance,logistic_regression,word_char,10.0,0.5,emotion_aware,0.6357105194410191,0.02958111051566214,0.6366352201257861,0.029286958171055838,0.6366352201257861,0.6418398743387762,0.6246976294146106,0.6316336304972833,15,1
factors_finance,logistic_regression,word_char,10.0,0.05,emotion_aware,0.6352864406917585,0.030715698785729065,0.6360304789550072,0.030470021424085197,0.6360304789550072,0.6397035148462575,0.6246734397677793,0.6308390646592696,15,2
factors_finance,logistic_regression,word,1.0,0.25,emotion_aware,0.63513338995945,0.04901082603691152,0.6366715045960328,0.049035970245827835,0.6366715045960328,0.6507424864749816,0.5979196903725206,0.6210944900793294,15,3
factors_finance,logistic_regression,word_char,1.0,0.05,emotion_aware,0.6348942764390071,0.03104856762721333,0.6359941944847606,0.030937758539648235,0.6359941944847606,0.6412515720151712,0.6246976294146106,0.6309357174239321,15,4
factors_finance,linear_svm,word,1.0,0.1,emotion_aware,0.6346803217071848,0.03344354682771354,0.6353168843734881,0.0337075326173932,0.6353168843734881,0.6401159218068221,0.6220609579100145,0.629784973488201,15,5
factors_finance,linear_svm,word_char,1.0,0.05,emotion_aware,0.6331398946222895,0.03537497207971712,0.6341074020319303,0.03526355054709498,0.6341074020319303,0.6394544079993466,0.6195452346395742,0.6277092678767032,15,6
factors_finance,logistic_regression,word_char,1.0,0.1,emotion_aware,0.6328738914435292,0.03238129502031166,0.6341074020319303,0.03208349807586857,0.6341074020319303,0.6402166826423993,0.6183357522980164,0.6270506694153692,15,7
factors_finance,logistic_regression,word,10.0,0.1,emotion_aware,0.6327159114987977,0.02786021891530388,0.6334179970972423,0.02797795852278576,0.6334179970972423,0.6382050047287658,0.6195452346395742,0.6274789641508778,15,8
factors_finance,linear_svm,word_char,0.1,0.05,emotion_aware,0.6323882835811382,0.027566951670672635,0.6334421867440735,0.027405059998946768,0.6334421867440735,0.6383247053972838,0.6221335268505079,0.6283325149341736,15,9
factors_finance,logistic_regression,word_char,10.0,0.25,emotion_aware,0.6318033433301447,0.03193664048565405,0.6327890662796324,0.03165179205872672,0.6327890662796324,0.6374339685217585,0.6221093372036768,0.6280782669241703,15,10
factors_finance,linear_svm,word,0.1,0.25,emotion_aware,0.6317708479487318,0.054053255860116445,0.6334905660377358,0.054082391098421126,0.6334905660377359,0.6481266818416426,0.5928640541848088,0.6168725074515701,15,11
factors_finance,logistic_regression,word,1.0,0.1,emotion_aware,0.6311426964231495,0.03713784054024635,0.6321722302854378,0.03703942382227665,0.6321722302854378,0.6398194952518551,0.6106676342525399,0.623306286206456,15,12
factors_finance,logistic_regression,word_char,1.0,0.25,emotion_aware,0.6310308227554151,0.037198102739438,0.6327769714562167,0.03729478423564802,0.6327769714562167,0.641741182604974,0.610691823899371,0.622831655168165,15,13
factors_finance,linear_svm,word_char,0.1,0.1,emotion_aware,0.6307574273960886,0.030410533567019647,0.6321722302854378,0.02991778708070881,0.6321722302854378,0.6396831865713326,0.6132075471698113,0.6239039591936419,15,14
