dataset,repetition,outer_seed,outer_fold,model,parameter_index,ngram_range,min_df,C,affect_weight,inner_macro_f1,inner_balanced_accuracy,selected
liar2_finance,1,11,1,emotion_aware,39,1-2,1,1.0,0.5,0.6448383561050813,0.6452991452991452,False
liar2_finance,1,11,1,emotion_aware,40,1-2,1,1.0,1.0,0.6435508524397413,0.644078144078144,False
liar2_finance,1,11,1,emotion_aware,41,1-2,1,10.0,0.05,0.6430200620969668,0.6434676434676434,False
liar2_finance,1,11,1,emotion_aware,42,1-2,1,10.0,0.1,0.648536548504643,0.648962148962149,False
liar2_finance,1,11,1,emotion_aware,43,1-2,1,10.0,0.25,0.6473993291407427,0.6477411477411478,False
liar2_finance,1,11,1,emotion_aware,44,1-2,1,10.0,0.5,0.6468984962406015,0.6471306471306472,False
liar2_finance,1,11,1,emotion_aware,45,1-2,1,10.0,1.0,0.6468984962406015,0.6471306471306472,False
liar2_finance,1,11,1,emotion_aware,46,1-2,2,0.1,0.05,0.6410251058500804,0.641025641025641,False
liar2_finance,1,11,1,emotion_aware,47,1-2,2,0.1,0.1,0.6318570177822057,0.6318681318681318,False
liar2_finance,1,11,1,emotion_aware,48,1-2,2,0.1,0.25,0.6196545756850771,0.6196581196581197,False
liar2_finance,1,11,1,emotion_aware,49,1-2,2,0.1,0.5,0.6115125298329356,0.6117216117216118,False
liar2_finance,1,11,1,emotion_aware,50,1-2,2,0.1,1.0,0.6022900236648211,0.6025641025641025,False
liar2_finance,1,11,1,emotion_aware,51,1-2,2,1.0,0.05,0.651397784938101,0.6514041514041514,False
liar2_finance,1,11,1,emotion_aware,52,1-2,2,1.0,0.1,0.6525442147554129,0.6526251526251525,False
liar2_finance,1,11,1,emotion_aware,53,1-2,2,1.0,0.25,0.6463586841617573,0.6465201465201464,False
liar2_finance,1,11,1,emotion_aware,54,1-2,2,1.0,0.5,0.6530680735102627,0.6532356532356532,True
liar2_finance,1,11,1,emotion_aware,55,1-2,2,1.0,1.0,0.6530489260143197,0.6532356532356532,False
liar2_finance,1,11,1,emotion_aware,56,1-2,2,10.0,0.05,0.6294027861901879,0.6294261294261294,False
liar2_finance,1,11,1,emotion_aware,57,1-2,2,10.0,0.1,0.6293762624954198,0.6294261294261294,False
liar2_finance,1,11,1,emotion_aware,58,1-2,2,10.0,0.25,0.6330288156689603,0.6330891330891331,False
liar2_finance,1,11,1,emotion_aware,59,1-2,2,10.0,0.5,0.6305974280226176,0.6306471306471306,False
liar2_finance,1,11,1,emotion_aware,60,1-2,2,10.0,1.0,0.6299919484702093,0.63003663003663,False
liar2_finance,1,11,2,text_only,1,1-1,1,0.1,,0.6379341386000585,0.6379731379731379,False
liar2_finance,1,11,2,text_only,2,1-1,1,1.0,,0.6398024918114906,0.6398046398046398,False
liar2_finance,1,11,2,text_only,3,1-1,1,10.0,,0.6288017938503376,0.6288156288156288,False
liar2_finance,1,11,2,text_only,4,1-1,2,0.1,,0.634918457802155,0.6349206349206349,False
liar2_finance,1,11,2,text_only,5,1-1,2,1.0,,0.6318614086123903,0.6318681318681318,False
liar2_finance,1,11,2,text_only,6,1-1,2,10.0,,0.6251475955345642,0.6251526251526252,False
liar2_finance,1,11,2,text_only,7,1-2,1,0.1,,0.6449549570723944,0.6452991452991453,False
liar2_finance,1,11,2,text_only,8,1-2,1,1.0,,0.6450312362575572,0.6452991452991453,False
liar2_finance,1,11,2,text_only,9,1-2,1,10.0,,0.6457385257675218,0.6459096459096458,False
liar2_finance,1,11,2,text_only,10,1-2,2,0.1,,0.6367130058466017,0.6367521367521367,False
liar2_finance,1,11,2,text_only,11,1-2,2,1.0,,0.6458837772397095,0.6459096459096458,True
liar2_finance,1,11,2,text_only,12,1-2,2,10.0,,0.6330660205935796,0.6330891330891331,False
liar2_finance,1,11,2,emotion_aware,1,1-1,1,0.1,0.05,0.6416199794030615,0.6416361416361416,False
liar2_finance,1,11,2,emotion_aware,2,1-1,1,0.1,0.1,0.6318515290971825,0.6318681318681318,False
liar2_finance,1,11,2,emotion_aware,3,1-1,1,0.1,0.25,0.6141636141636142,0.6141636141636142,False
liar2_finance,1,11,2,emotion_aware,4,1-1,1,0.1,0.5,0.6147498485766202,0.6147741147741148,False
liar2_finance,1,11,2,emotion_aware,5,1-1,1,0.1,1.0,0.6109891756887902,0.6111111111111112,False
liar2_finance,1,11,2,emotion_aware,6,1-1,1,1.0,0.05,0.648346930012881,0.6483516483516484,False
liar2_finance,1,11,2,emotion_aware,7,1-1,1,1.0,0.1,0.6446838772005152,0.6446886446886447,False
liar2_finance,1,11,2,emotion_aware,8,1-1,1,1.0,0.25,0.6416199794030615,0.6416361416361416,False
liar2_finance,1,11,2,emotion_aware,9,1-1,1,1.0,0.5,0.6428410356912964,0.6428571428571428,False
liar2_finance,1,11,2,emotion_aware,10,1-1,1,1.0,1.0,0.6440557238037553,0.644078144078144,False
liar2_finance,1,11,2,emotion_aware,11,1-1,1,10.0,0.05,0.6318284748327745,0.6318681318681318,False
liar2_finance,1,11,2,emotion_aware,12,1-1,1,10.0,0.1,0.6312438873118484,0.6312576312576312,False
liar2_finance,1,11,2,emotion_aware,13,1-1,1,10.0,0.25,0.6318449424591157,0.6318681318681318,False
liar2_finance,1,11,2,emotion_aware,14,1-1,1,10.0,0.5,0.6306238643246518,0.6306471306471306,False
liar2_finance,1,11,2,emotion_aware,15,1-1,1,10.0,1.0,0.6306238643246518,0.6306471306471306,False
liar2_finance,1,11,2,emotion_aware,16,1-1,2,0.1,0.05,0.6428463605349757,0.6428571428571428,False
liar2_finance,1,11,2,emotion_aware,17,1-1,2,0.1,0.1,0.6293950505047117,0.6294261294261294,False
liar2_finance,1,11,2,emotion_aware,18,1-1,2,0.1,0.25,0.6172125504888337,0.6172161172161172,False
liar2_finance,1,11,2,emotion_aware,19,1-1,2,0.1,0.5,0.6116845609865558,0.6117216117216118,False
liar2_finance,1,11,2,emotion_aware,20,1-1,2,0.1,1.0,0.6084903567317557,0.6086691086691087,False
liar2_finance,1,11,2,emotion_aware,21,1-1,2,1.0,0.05,0.6465200147742693,0.6465201465201466,False
liar2_finance,1,11,2,emotion_aware,22,1-1,2,1.0,0.1,0.6459075343231602,0.645909645909646,False
liar2_finance,1,11,2,emotion_aware,23,1-1,2,1.0,0.25,0.6416328024512685,0.6416361416361416,False
liar2_finance,1,11,2,emotion_aware,24,1-1,2,1.0,0.5,0.6410235003138245,0.641025641025641,False
liar2_finance,1,11,2,emotion_aware,25,1-1,2,1.0,1.0,0.6385814833091568,0.6385836385836385,False
liar2_finance,1,11,2,emotion_aware,26,1-1,2,10.0,0.05,0.6305974280226176,0.6306471306471306,False
liar2_finance,1,11,2,emotion_aware,27,1-1,2,10.0,0.1,0.631178452082187,0.6312576312576312,False
liar2_finance,1,11,2,emotion_aware,28,1-1,2,10.0,0.25,0.627514661871083,0.6275946275946276,False
liar2_finance,1,11,2,emotion_aware,29,1-1,2,10.0,0.5,0.6269228059463141,0.626984126984127,False
liar2_finance,1,11,2,emotion_aware,30,1-1,2,10.0,1.0,0.6269228059463141,0.626984126984127,False
