dataset,repetition,outer_seed,outer_fold,model,ngram_range,min_df,C
factors_finance,6,66,1,text_only,1-2,1,0.1
factors_finance,6,66,1,emotion_aware,1-2,1,10.0
factors_finance,6,66,2,text_only,1-2,1,10.0
factors_finance,6,66,2,emotion_aware,1-2,1,10.0
factors_finance,6,66,3,text_only,1-2,1,1.0
factors_finance,6,66,3,emotion_aware,1-2,2,10.0
factors_finance,6,66,4,text_only,1-2,2,10.0
factors_finance,6,66,4,emotion_aware,1-2,1,10.0
factors_finance,6,66,5,text_only,1-1,2,0.1
factors_finance,6,66,5,emotion_aware,1-1,2,10.0
factors_finance,7,77,1,text_only,1-2,1,10.0
factors_finance,7,77,1,emotion_aware,1-2,2,10.0
factors_finance,7,77,2,text_only,1-1,2,10.0
factors_finance,7,77,2,emotion_aware,1-2,1,10.0
factors_finance,7,77,3,text_only,1-2,1,0.1
factors_finance,7,77,3,emotion_aware,1-2,1,10.0
factors_finance,7,77,4,text_only,1-1,1,10.0
factors_finance,7,77,4,emotion_aware,1-2,1,10.0
factors_finance,7,77,5,text_only,1-2,2,1.0
factors_finance,7,77,5,emotion_aware,1-2,1,10.0
factors_finance,8,88,1,text_only,1-2,1,0.1
factors_finance,8,88,1,emotion_aware,1-2,1,10.0
factors_finance,8,88,2,text_only,1-2,1,1.0
factors_finance,8,88,2,emotion_aware,1-2,2,10.0
factors_finance,8,88,3,text_only,1-2,2,0.1
factors_finance,8,88,3,emotion_aware,1-2,2,1.0
factors_finance,8,88,4,text_only,1-2,1,0.1
factors_finance,8,88,4,emotion_aware,1-2,2,10.0
factors_finance,8,88,5,text_only,1-2,2,0.1
factors_finance,8,88,5,emotion_aware,1-2,1,10.0
factors_finance,9,99,1,text_only,1-2,1,10.0
factors_finance,9,99,1,emotion_aware,1-2,2,10.0
factors_finance,9,99,2,text_only,1-2,1,10.0
factors_finance,9,99,2,emotion_aware,1-1,1,10.0
factors_finance,9,99,3,text_only,1-2,1,10.0
factors_finance,9,99,3,emotion_aware,1-1,2,10.0
factors_finance,9,99,4,text_only,1-1,1,10.0
factors_finance,9,99,4,emotion_aware,1-1,1,10.0
factors_finance,9,99,5,text_only,1-1,1,10.0
factors_finance,9,99,5,emotion_aware,1-2,1,10.0
factors_finance,10,110,1,text_only,1-2,2,1.0
factors_finance,10,110,1,emotion_aware,1-1,1,1.0
factors_finance,10,110,2,text_only,1-2,1,1.0
factors_finance,10,110,2,emotion_aware,1-2,1,10.0
factors_finance,10,110,3,text_only,1-2,1,0.1
factors_finance,10,110,3,emotion_aware,1-1,1,10.0
factors_finance,10,110,4,text_only,1-1,1,1.0
factors_finance,10,110,4,emotion_aware,1-2,1,10.0
factors_finance,10,110,5,text_only,1-2,1,10.0
factors_finance,10,110,5,emotion_aware,1-2,1,10.0
