dataset,repetition,seed,model,train_rows,ngram_range,min_df,C,scope,subset,manipulation_category,rows,detected_misleading,missed_misleading,misleading_recall,mean_probability_misleading,median_probability_misleading,std_probability_misleading
liar2_finance,1,11,text_only,2048,1-2,2,1.0,overall,all,all,1123,522,601,0.46482635796972394,0.4940701929003385,0.4922338654583395,0.09044913912914167
liar2_finance,1,11,text_only,2048,1-2,2,1.0,overall_non_sentiment,all,non_sentiment,917,427,490,0.46564885496183206,0.4948138945831382,0.4923776323586344,0.09141876758097112
liar2_finance,1,11,text_only,2048,1-2,2,1.0,subset,hard_case,all,123,43,80,0.34959349593495936,0.4728711106071583,0.46991013604037185,0.0858996303472883
liar2_finance,1,11,text_only,2048,1-2,2,1.0,subset_non_sentiment,hard_case,non_sentiment,70,26,44,0.37142857142857144,0.47642108586156756,0.4760684311274138,0.09271417092334915
liar2_finance,1,11,text_only,2048,1-2,2,1.0,subset,main,all,1000,479,521,0.479,0.4966776800223996,0.4943111392319655,0.09065127897556978
liar2_finance,1,11,text_only,2048,1-2,2,1.0,subset_non_sentiment,main,non_sentiment,847,401,446,0.4734356552538371,0.4963339614196316,0.49368641854379813,0.09114499018962532
liar2_finance,1,11,text_only,2048,1-2,2,1.0,category,all,causal,231,122,109,0.5281385281385281,0.515214828915914,0.5120353635211339,0.09298856829153024
liar2_finance,1,11,text_only,2048,1-2,2,1.0,category,all,flipping,313,144,169,0.46006389776357826,0.49202803501216746,0.484578108126429,0.09053812678262174
liar2_finance,1,11,text_only,2048,1-2,2,1.0,category,all,numerical,373,161,212,0.4316353887399464,0.48451726781327925,0.48526536860899994,0.08911953042333103
liar2_finance,1,11,text_only,2048,1-2,2,1.0,category,all,sentiment,206,95,111,0.46116504854368934,0.4907596373511765,0.4874511891103814,0.08592226715171426
liar2_finance,1,11,text_only,2048,1-2,2,1.0,subset_category,hard_case,causal,43,20,23,0.46511627906976744,0.5021195265590354,0.4971616292289207,0.09453237788342914
liar2_finance,1,11,text_only,2048,1-2,2,1.0,subset_category,hard_case,flipping,7,3,4,0.42857142857142855,0.48755764091101933,0.484578108126429,0.0630330799033488
liar2_finance,1,11,text_only,2048,1-2,2,1.0,subset_category,hard_case,numerical,20,3,17,0.15,0.41727164409470374,0.4205805642770888,0.0672306466797506
liar2_finance,1,11,text_only,2048,1-2,2,1.0,subset_category,hard_case,sentiment,53,17,36,0.32075471698113206,0.46818246404473096,0.4633504984742632,0.07571350060149173
liar2_finance,1,11,text_only,2048,1-2,2,1.0,subset_category,main,causal,188,102,86,0.5425531914893617,0.5182100310507319,0.5172615469671469,0.09237134222007717
liar2_finance,1,11,text_only,2048,1-2,2,1.0,subset_category,main,flipping,306,141,165,0.46078431372549017,0.4921302989295139,0.4844884425032217,0.09106762240746118
liar2_finance,1,11,text_only,2048,1-2,2,1.0,subset_category,main,numerical,353,158,195,0.4475920679886686,0.48832721816560654,0.4892616060665712,0.08868749775631
liar2_finance,1,11,text_only,2048,1-2,2,1.0,subset_category,main,sentiment,153,78,75,0.5098039215686274,0.49858048823510864,0.502081216155172,0.08784361943972545
liar2_finance,1,11,emotion_aware,2048,1-2,2,1.0,overall,all,all,1123,361,762,0.32146037399821903,0.4540960367715219,0.4501682399809529,0.10357750665457897
liar2_finance,1,11,emotion_aware,2048,1-2,2,1.0,overall_non_sentiment,all,non_sentiment,917,298,619,0.3249727371864776,0.4540737353323915,0.4502770152716,0.10386121772573041
liar2_finance,1,11,emotion_aware,2048,1-2,2,1.0,subset,hard_case,all,123,31,92,0.25203252032520324,0.4352250327091143,0.42286973234233216,0.11678481948948062
liar2_finance,1,11,emotion_aware,2048,1-2,2,1.0,subset_non_sentiment,hard_case,non_sentiment,70,19,51,0.2714285714285714,0.43222947220598834,0.41875918042669136,0.13002734601896623
liar2_finance,1,11,emotion_aware,2048,1-2,2,1.0,subset,main,all,1000,330,670,0.33,0.45641717027119794,0.45268980270060566,0.10159297032969197
liar2_finance,1,11,emotion_aware,2048,1-2,2,1.0,subset_non_sentiment,main,non_sentiment,847,279,568,0.3293978748524203,0.4558790463345735,0.45159951454369546,0.10118634317213736
liar2_finance,1,11,emotion_aware,2048,1-2,2,1.0,category,all,causal,231,83,148,0.3593073593073593,0.46188446455231896,0.45628547905557154,0.10447570180122959
liar2_finance,1,11,emotion_aware,2048,1-2,2,1.0,category,all,flipping,313,122,191,0.38977635782747605,0.4669289141173428,0.4657716242177615,0.10177412629699925
liar2_finance,1,11,emotion_aware,2048,1-2,2,1.0,category,all,numerical,373,93,280,0.24932975871313673,0.43844920608442084,0.43485172685066925,0.10318639145335048
liar2_finance,1,11,emotion_aware,2048,1-2,2,1.0,category,all,sentiment,206,63,143,0.3058252427184466,0.4541953106534763,0.4483500590368033,0.10230497426217193
liar2_finance,1,11,emotion_aware,2048,1-2,2,1.0,subset_category,hard_case,causal,43,16,27,0.37209302325581395,0.46278609733227244,0.43706038487668253,0.1343594171853643
liar2_finance,1,11,emotion_aware,2048,1-2,2,1.0,subset_category,hard_case,flipping,7,3,4,0.42857142857142855,0.4842536746469302,0.48775756636950535,0.09302497621076787
liar2_finance,1,11,emotion_aware,2048,1-2,2,1.0,subset_category,hard_case,numerical,20,0,20,0.0,0.34832425733014777,0.35672141121463574,0.08566504752739908
liar2_finance,1,11,emotion_aware,2048,1-2,2,1.0,subset_category,hard_case,sentiment,53,12,41,0.22641509433962265,0.4391814333736203,0.43639911362898987,0.09640753400259015
