dataset,repetition,seed,model,parameter_index,ngram_range,min_df,C,affect_weight,inner_macro_f1,inner_balanced_accuracy,selected
liar2_finance,1,11,emotion_aware,43,1-2,1,10.0,0.25,0.6509357573905736,0.6513671875,False
liar2_finance,1,11,emotion_aware,44,1-2,1,10.0,0.5,0.6509114243888745,0.6513671875,False
liar2_finance,1,11,emotion_aware,45,1-2,1,10.0,1.0,0.6499335852415042,0.650390625,False
liar2_finance,1,11,emotion_aware,46,1-2,2,0.1,0.05,0.658662027595511,0.65869140625,False
liar2_finance,1,11,emotion_aware,47,1-2,2,0.1,0.1,0.638671875,0.638671875,False
liar2_finance,1,11,emotion_aware,48,1-2,2,0.1,0.25,0.6245094806520978,0.62451171875,False
liar2_finance,1,11,emotion_aware,49,1-2,2,0.1,0.5,0.6224072615162394,0.62255859375,False
liar2_finance,1,11,emotion_aware,50,1-2,2,0.1,1.0,0.6182911390139452,0.61865234375,False
liar2_finance,1,11,emotion_aware,51,1-2,2,1.0,0.05,0.6698963752807596,0.669921875,True
liar2_finance,1,11,emotion_aware,52,1-2,2,1.0,0.1,0.6669299299872185,0.6669921875,False
liar2_finance,1,11,emotion_aware,53,1-2,2,1.0,0.25,0.6625100310859329,0.66259765625,False
liar2_finance,1,11,emotion_aware,54,1-2,2,1.0,0.5,0.6521832052911386,0.65234375,False
liar2_finance,1,11,emotion_aware,55,1-2,2,1.0,1.0,0.6521682710794459,0.65234375,False
liar2_finance,1,11,emotion_aware,56,1-2,2,10.0,0.05,0.6445095525849966,0.64453125,False
liar2_finance,1,11,emotion_aware,57,1-2,2,10.0,0.1,0.6435329304767137,0.6435546875,False
liar2_finance,1,11,emotion_aware,58,1-2,2,10.0,0.25,0.6406082056065319,0.640625,False
liar2_finance,1,11,emotion_aware,59,1-2,2,10.0,0.5,0.6425696031952666,0.642578125,False
liar2_finance,1,11,emotion_aware,60,1-2,2,10.0,1.0,0.6425696031952666,0.642578125,False
liar2_finance,2,22,text_only,1,1-1,1,0.1,,0.6381641833642142,0.63818359375,False
liar2_finance,2,22,text_only,2,1-1,1,1.0,,0.643546188978886,0.6435546875,False
liar2_finance,2,22,text_only,3,1-1,1,10.0,,0.6220613017392573,0.6220703125,False
liar2_finance,2,22,text_only,4,1-1,2,0.1,,0.6381641833642142,0.63818359375,False
liar2_finance,2,22,text_only,5,1-1,2,1.0,,0.645499360546125,0.6455078125,False
liar2_finance,2,22,text_only,6,1-1,2,10.0,,0.6259676448737352,0.6259765625,False
liar2_finance,2,22,text_only,7,1-2,1,0.1,,0.6364660107821085,0.63671875,False
liar2_finance,2,22,text_only,8,1-2,1,1.0,,0.6506082597341243,0.65087890625,False
liar2_finance,2,22,text_only,9,1-2,1,10.0,,0.6523903818953324,0.65283203125,True
liar2_finance,2,22,text_only,10,1-2,2,0.1,,0.6493806248307066,0.6494140625,False
liar2_finance,2,22,text_only,11,1-2,2,1.0,,0.6493976788389808,0.6494140625,False
liar2_finance,2,22,text_only,12,1-2,2,10.0,,0.6342228387055853,0.63427734375,False
liar2_finance,2,22,emotion_aware,1,1-1,1,0.1,0.05,0.6455064602144631,0.6455078125,False
liar2_finance,2,22,emotion_aware,2,1-1,1,0.1,0.1,0.633785919259332,0.6337890625,False
liar2_finance,2,22,emotion_aware,3,1-1,1,0.1,0.25,0.6240230789404668,0.6240234375,False
liar2_finance,2,22,emotion_aware,4,1-1,1,0.1,0.5,0.621057611237644,0.62109375,False
liar2_finance,2,22,emotion_aware,5,1-1,1,0.1,1.0,0.6146335425590599,0.61474609375,False
liar2_finance,2,22,emotion_aware,6,1-1,1,1.0,0.05,0.6503692852346945,0.650390625,False
liar2_finance,2,22,emotion_aware,7,1-1,1,1.0,0.1,0.6454861746932796,0.6455078125,False
liar2_finance,2,22,emotion_aware,8,1-1,1,1.0,0.25,0.6474202517036973,0.6474609375,False
liar2_finance,2,22,emotion_aware,9,1-1,1,1.0,0.5,0.6454591237199933,0.6455078125,False
liar2_finance,2,22,emotion_aware,10,1-1,1,1.0,1.0,0.6444647933001393,0.64453125,False
liar2_finance,2,22,emotion_aware,11,1-1,1,10.0,0.05,0.6298824595284076,0.6298828125,False
liar2_finance,2,22,emotion_aware,12,1-1,1,10.0,0.1,0.6293944428907496,0.62939453125,False
liar2_finance,2,22,emotion_aware,13,1-1,1,10.0,0.25,0.6284107926545632,0.62841796875,False
liar2_finance,2,22,emotion_aware,14,1-1,1,10.0,0.5,0.6293873740142095,0.62939453125,False
liar2_finance,2,22,emotion_aware,15,1-1,1,10.0,1.0,0.6288974022245937,0.62890625,False
liar2_finance,2,22,emotion_aware,16,1-1,2,0.1,0.05,0.6484321355001145,0.6484375,False
liar2_finance,2,22,emotion_aware,17,1-1,2,0.1,0.1,0.6342730711413589,0.63427734375,False
liar2_finance,2,22,emotion_aware,18,1-1,2,0.1,0.25,0.6269499230855062,0.626953125,False
liar2_finance,2,22,emotion_aware,19,1-1,2,0.1,0.5,0.6195961652316209,0.61962890625,False
liar2_finance,2,22,emotion_aware,20,1-1,2,0.1,1.0,0.6155971890811568,0.61572265625,False
liar2_finance,2,22,emotion_aware,21,1-1,2,1.0,0.05,0.6484321355001145,0.6484375,False
liar2_finance,2,22,emotion_aware,22,1-1,2,1.0,0.1,0.6464759463297446,0.646484375,False
liar2_finance,2,22,emotion_aware,23,1-1,2,1.0,0.25,0.6469200432364994,0.64697265625,False
liar2_finance,2,22,emotion_aware,24,1-1,2,1.0,0.5,0.6473637467601907,0.6474609375,False
liar2_finance,2,22,emotion_aware,25,1-1,2,1.0,1.0,0.6449578223830503,0.64501953125,False
liar2_finance,2,22,emotion_aware,26,1-1,2,10.0,0.05,0.6274406068242697,0.62744140625,False
liar2_finance,2,22,emotion_aware,27,1-1,2,10.0,0.1,0.628900587472343,0.62890625,False
liar2_finance,2,22,emotion_aware,28,1-1,2,10.0,0.25,0.6259637209834628,0.6259765625,False
liar2_finance,2,22,emotion_aware,29,1-1,2,10.0,0.5,0.6259476678477246,0.6259765625,False
liar2_finance,2,22,emotion_aware,30,1-1,2,10.0,1.0,0.626439104295049,0.62646484375,False
liar2_finance,2,22,emotion_aware,31,1-2,1,0.1,0.05,0.6473395248112267,0.6474609375,False
liar2_finance,2,22,emotion_aware,32,1-2,1,0.1,0.1,0.627409337704399,0.62744140625,False
liar2_finance,2,22,emotion_aware,33,1-2,1,0.1,0.25,0.6137672291232892,0.61376953125,False
liar2_finance,2,22,emotion_aware,34,1-2,1,0.1,0.5,0.6097619606912597,0.60986328125,False
liar2_finance,2,22,emotion_aware,35,1-2,1,0.1,1.0,0.6019208501920492,0.60205078125,False
liar2_finance,2,22,emotion_aware,36,1-2,1,1.0,0.05,0.6642125363268807,0.66455078125,True
liar2_finance,2,22,emotion_aware,37,1-2,1,1.0,0.1,0.657909506374108,0.658203125,False
liar2_finance,2,22,emotion_aware,38,1-2,1,1.0,0.25,0.6544152904125838,0.65478515625,False
liar2_finance,2,22,emotion_aware,39,1-2,1,1.0,0.5,0.6548468413413796,0.6552734375,False
liar2_finance,2,22,emotion_aware,40,1-2,1,1.0,1.0,0.6524142790748635,0.65283203125,False
liar2_finance,2,22,emotion_aware,41,1-2,1,10.0,0.05,0.6525237657862879,0.65283203125,False
liar2_finance,2,22,emotion_aware,42,1-2,1,10.0,0.1,0.6541068702290076,0.654296875,False
liar2_finance,2,22,emotion_aware,43,1-2,1,10.0,0.25,0.6545709464625715,0.65478515625,False
liar2_finance,2,22,emotion_aware,44,1-2,1,10.0,0.5,0.6521018812861038,0.65234375,False
liar2_finance,2,22,emotion_aware,45,1-2,1,10.0,1.0,0.6525993708688667,0.65283203125,False
liar2_finance,2,22,emotion_aware,46,1-2,2,0.1,0.05,0.6572213321126116,0.6572265625,False
liar2_finance,2,22,emotion_aware,47,1-2,2,0.1,0.1,0.6298739880082133,0.6298828125,False
liar2_finance,2,22,emotion_aware,48,1-2,2,0.1,0.25,0.6245008861082122,0.62451171875,False
liar2_finance,2,22,emotion_aware,49,1-2,2,0.1,0.5,0.6176355784631019,0.61767578125,False
liar2_finance,2,22,emotion_aware,50,1-2,2,0.1,1.0,0.6117155929280993,0.61181640625,False
liar2_finance,2,22,emotion_aware,51,1-2,2,1.0,0.05,0.6576964811583187,0.65771484375,False
liar2_finance,2,22,emotion_aware,52,1-2,2,1.0,0.1,0.6566871236448951,0.65673828125,False
liar2_finance,2,22,emotion_aware,53,1-2,2,1.0,0.25,0.6581196581196581,0.658203125,False
liar2_finance,2,22,emotion_aware,54,1-2,2,1.0,0.5,0.6527624066314643,0.65283203125,False
liar2_finance,2,22,emotion_aware,55,1-2,2,1.0,1.0,0.6517650537833142,0.65185546875,False
liar2_finance,2,22,emotion_aware,56,1-2,2,10.0,0.05,0.6410508933308692,0.64111328125,False
liar2_finance,2,22,emotion_aware,57,1-2,2,10.0,0.1,0.6381455474344297,0.63818359375,False
liar2_finance,2,22,emotion_aware,58,1-2,2,10.0,0.25,0.6435271508209386,0.6435546875,False
liar2_finance,2,22,emotion_aware,59,1-2,2,10.0,0.5,0.6444902260945868,0.64453125,False
liar2_finance,2,22,emotion_aware,60,1-2,2,10.0,1.0,0.6449822037582058,0.64501953125,False
liar2_finance,3,33,text_only,1,1-1,1,0.1,,0.645015384138542,0.64501953125,False
liar2_finance,3,33,text_only,2,1-1,1,1.0,,0.639631597469593,0.6396484375,False
liar2_finance,3,33,text_only,3,1-1,1,10.0,,0.6367100884935497,0.63671875,False
liar2_finance,3,33,text_only,4,1-1,2,0.1,,0.6406236290879406,0.640625,False
liar2_finance,3,33,text_only,5,1-1,2,1.0,,0.6435516280790832,0.6435546875,False
liar2_finance,3,33,text_only,6,1-1,2,10.0,,0.6328037453590717,0.6328125,False
liar2_finance,3,33,text_only,7,1-2,1,0.1,,0.6442839460341061,0.64453125,False
liar2_finance,3,33,text_only,8,1-2,1,1.0,,0.6516221539092854,0.65185546875,True
liar2_finance,3,33,text_only,9,1-2,1,10.0,,0.649132652817745,0.6494140625,False
liar2_finance,3,33,text_only,10,1-2,2,0.1,,0.643546188978886,0.6435546875,False
