dataset,metric,n_repetitions,text_only_mean,text_only_std,emotion_aware_mean,emotion_aware_std,mean_difference_emotion_minus_text,median_difference_emotion_minus_text,wilcoxon_statistic,p_value,rank_biserial,p_value_holm,significant_holm_0_05
liar2_finance,macro_f1,10,0.6561789628784507,0.0055069115687163585,0.6619209149465444,0.008097334667769312,0.005741952068093659,0.007822819500858225,8.0,0.048828125,0.7090909090909091,0.1796875,False
liar2_finance,balanced_accuracy,10,0.656201171875,0.005512029958509761,0.661962890625,0.008056394014533758,0.00576171875,0.0078125,8.0,0.044921875,0.7090909090909091,0.1796875,False
factors_finance,macro_f1,10,0.6177665554104662,0.011635155795521683,0.6298532739223291,0.013624730453376178,0.012086718511862993,0.014094240473225383,8.0,0.048828125,0.7090909090909091,0.1796875,False
factors_finance,balanced_accuracy,10,0.618007662835249,0.011572037077981415,0.6300766283524905,0.013589685389018316,0.01206896551724137,0.014367816091953978,8.0,0.048828125,0.7090909090909091,0.1796875,False
