dataset,repetition,outer_seed,outer_fold,model,train_rows,test_rows,ngram_range,min_df,C,accuracy,balanced_accuracy,precision,recall,f1,macro_f1
liar2_finance,1,11,1,text_only,1638,410,1-2,1,1.0,0.6658536585365854,0.6658536585365853,0.6588785046728972,0.6878048780487804,0.6730310262529833,0.6656925704831
liar2_finance,1,11,1,emotion_aware,1638,410,1-2,2,1.0,0.6829268292682927,0.6829268292682926,0.6794258373205742,0.6926829268292682,0.6859903381642513,0.6828966469146379
liar2_finance,1,11,2,text_only,1638,410,1-2,2,1.0,0.624390243902439,0.624390243902439,0.6231884057971014,0.6292682926829268,0.6262135922330098,0.6243813059204264
liar2_finance,1,11,2,emotion_aware,1638,410,1-2,2,1.0,0.6292682926829268,0.6292682926829268,0.6267942583732058,0.6390243902439025,0.6328502415458938,0.629233002546346
liar2_finance,1,11,3,text_only,1638,410,1-2,1,1.0,0.6658536585365854,0.6658536585365853,0.6847826086956522,0.6146341463414634,0.6478149100257069,0.664974740395684
liar2_finance,1,11,3,emotion_aware,1638,410,1-1,2,1.0,0.6268292682926829,0.6268292682926828,0.6444444444444445,0.5658536585365853,0.6025974025974026,0.625436632333184
liar2_finance,1,11,4,text_only,1638,410,1-2,1,1.0,0.6414634146341464,0.6414634146341464,0.6542553191489362,0.6,0.6259541984732825,0.6408459516956576
liar2_finance,1,11,4,emotion_aware,1638,410,1-1,1,1.0,0.6487804878048781,0.6487804878048781,0.6517412935323383,0.6390243902439025,0.645320197044335,0.6487470550439066
liar2_finance,1,11,5,text_only,1640,408,1-2,1,10.0,0.6838235294117647,0.6838235294117647,0.6963350785340314,0.6519607843137255,0.6734177215189874,0.6835022099281398
liar2_finance,1,11,5,emotion_aware,1640,408,1-2,1,10.0,0.6813725490196079,0.6813725490196079,0.6907216494845361,0.6568627450980392,0.6733668341708543,0.6811810247409296
liar2_finance,2,22,1,text_only,1638,410,1-2,2,1.0,0.6292682926829268,0.6292682926829268,0.6267942583732058,0.6390243902439025,0.6328502415458938,0.629233002546346
liar2_finance,2,22,1,emotion_aware,1638,410,1-2,1,10.0,0.6536585365853659,0.6536585365853659,0.6567164179104478,0.6439024390243903,0.6502463054187192,0.6536255681682968
liar2_finance,2,22,2,text_only,1638,410,1-2,1,10.0,0.6585365853658537,0.6585365853658536,0.6737967914438503,0.6146341463414634,0.6428571428571429,0.6578771695594126
liar2_finance,2,22,2,emotion_aware,1638,410,1-2,1,10.0,0.6609756097560976,0.6609756097560975,0.6701030927835051,0.6341463414634146,0.6516290726817042,0.6607314009489281
liar2_finance,2,22,3,text_only,1638,410,1-2,2,1.0,0.7024390243902439,0.7024390243902439,0.6966824644549763,0.7170731707317073,0.7067307692307693,0.7023752856054837
liar2_finance,2,22,3,emotion_aware,1638,410,1-2,1,10.0,0.6951219512195121,0.6951219512195121,0.6904761904761905,0.7073170731707317,0.6987951807228916,0.6950766027071248
liar2_finance,2,22,4,text_only,1638,410,1-2,1,10.0,0.6658536585365854,0.6658536585365853,0.6847826086956522,0.6146341463414634,0.6478149100257069,0.664974740395684
liar2_finance,2,22,4,emotion_aware,1638,410,1-2,1,10.0,0.6609756097560976,0.6609756097560975,0.6853932584269663,0.5951219512195122,0.6370757180156658,0.6594989574060022
liar2_finance,2,22,5,text_only,1640,408,1-2,1,0.1,0.6299019607843137,0.6299019607843137,0.6373056994818653,0.6029411764705882,0.6196473551637279,0.6296327467942744
liar2_finance,2,22,5,emotion_aware,1640,408,1-2,1,10.0,0.6421568627450981,0.6421568627450981,0.6629213483146067,0.5784313725490197,0.6178010471204188,0.640697758583251
liar2_finance,3,33,1,text_only,1638,410,1-2,1,1.0,0.6682926829268293,0.6682926829268292,0.6885245901639344,0.6146341463414634,0.6494845360824743,0.6673348606338297
liar2_finance,3,33,1,emotion_aware,1638,410,1-2,2,1.0,0.6609756097560976,0.6609756097560975,0.6736842105263158,0.624390243902439,0.6481012658227848,0.6605212211466865
liar2_finance,3,33,2,text_only,1638,410,1-2,2,1.0,0.6829268292682927,0.6829268292682926,0.6794258373205742,0.6926829268292682,0.6859903381642513,0.6828966469146379
liar2_finance,3,33,2,emotion_aware,1638,410,1-2,2,1.0,0.7146341463414634,0.7146341463414634,0.7178217821782178,0.7073170731707317,0.7125307125307125,0.7146188671612401
liar2_finance,3,33,3,text_only,1638,410,1-2,2,0.1,0.6536585365853659,0.6536585365853659,0.6632124352331606,0.624390243902439,0.6432160804020101,0.6533615947033746
liar2_finance,3,33,3,emotion_aware,1638,410,1-2,1,1.0,0.6317073170731707,0.6317073170731707,0.6588235294117647,0.5463414634146342,0.5973333333333334,0.6290037453183521
liar2_finance,3,33,4,text_only,1638,410,1-2,2,1.0,0.6121951219512195,0.6121951219512195,0.6138613861386139,0.6048780487804878,0.6093366093366094,0.6121743579370698
liar2_finance,3,33,4,emotion_aware,1638,410,1-2,1,10.0,0.6268292682926829,0.6268292682926829,0.63,0.6146341463414634,0.6222222222222222,0.6267737617135207
liar2_finance,3,33,5,text_only,1640,408,1-2,1,1.0,0.6372549019607843,0.6372549019607843,0.6414141414141414,0.6225490196078431,0.6318407960199005,0.6371764366572932
liar2_finance,3,33,5,emotion_aware,1640,408,1-2,1,10.0,0.6519607843137255,0.6519607843137255,0.6597938144329897,0.6274509803921569,0.6432160804020101,0.6517515808708615
liar2_finance,4,44,1,text_only,1638,410,1-2,1,1.0,0.6780487804878049,0.6780487804878048,0.6910994764397905,0.6439024390243903,0.6666666666666666,0.6776729559748427
liar2_finance,4,44,1,emotion_aware,1638,410,1-2,1,10.0,0.7,0.7,0.7180851063829787,0.6585365853658537,0.6870229007633588,0.6994833473371829
liar2_finance,4,44,2,text_only,1638,410,1-2,1,10.0,0.651219512195122,0.6512195121951219,0.6703296703296703,0.5951219512195122,0.6304909560723514,0.6501184572509563
liar2_finance,4,44,2,emotion_aware,1638,410,1-2,1,10.0,0.6463414634146342,0.646341463414634,0.6630434782608695,0.5951219512195122,0.6272493573264781,0.645411221586673
liar2_finance,4,44,3,text_only,1638,410,1-2,1,10.0,0.6902439024390243,0.6902439024390243,0.7074468085106383,0.6487804878048781,0.6768447837150128,0.6897104480635954
liar2_finance,4,44,3,emotion_aware,1638,410,1-2,1,10.0,0.6780487804878049,0.6780487804878048,0.6910994764397905,0.6439024390243903,0.6666666666666666,0.6776729559748427
liar2_finance,4,44,4,text_only,1638,410,1-2,1,10.0,0.6585365853658537,0.6585365853658536,0.6701570680628273,0.624390243902439,0.6464646464646465,0.6581379836096817
liar2_finance,4,44,4,emotion_aware,1638,410,1-2,1,10.0,0.6634146341463415,0.6634146341463414,0.6735751295336787,0.6341463414634146,0.6532663316582915,0.6631260568244064
liar2_finance,4,44,5,text_only,1640,408,1-2,2,0.1,0.6397058823529411,0.6397058823529411,0.6432160804020101,0.6274509803921569,0.6352357320099256,0.6396517643100474
liar2_finance,4,44,5,emotion_aware,1640,408,1-1,2,1.0,0.6544117647058824,0.6544117647058822,0.6412556053811659,0.7009803921568627,0.6697892271662763,0.6536606804211844
liar2_finance,5,55,1,text_only,1638,410,1-2,1,1.0,0.6634146341463415,0.6634146341463414,0.6772486772486772,0.624390243902439,0.649746192893401,0.662901265460785
liar2_finance,5,55,1,emotion_aware,1638,410,1-2,1,10.0,0.6658536585365854,0.6658536585365853,0.6808510638297872,0.624390243902439,0.6513994910941476,0.6652781998796264
liar2_finance,5,55,2,text_only,1638,410,1-2,1,10.0,0.6463414634146342,0.6463414634146342,0.6415094339622641,0.6634146341463415,0.6522781774580336,0.6462383443121433
liar2_finance,5,55,2,emotion_aware,1638,410,1-2,1,10.0,0.6536585365853659,0.6536585365853659,0.6465116279069767,0.6780487804878049,0.6619047619047619,0.6534523809523809
liar2_finance,5,55,3,text_only,1638,410,1-2,1,10.0,0.6707317073170732,0.6707317073170731,0.6881720430107527,0.624390243902439,0.6547314578005116,0.6700230715575984
liar2_finance,5,55,3,emotion_aware,1638,410,1-2,1,10.0,0.6804878048780488,0.6804878048780487,0.7055555555555556,0.6195121951219512,0.6597402597402597,0.6792954172264517
liar2_finance,5,55,4,text_only,1638,410,1-1,2,0.1,0.6585365853658537,0.6585365853658537,0.6540284360189573,0.6731707317073171,0.6634615384615384,0.658463442498096
liar2_finance,5,55,4,emotion_aware,1638,410,1-1,2,1.0,0.6560975609756098,0.6560975609756098,0.6616161616161617,0.6390243902439025,0.6501240694789082,0.6559972865380153
liar2_finance,5,55,5,text_only,1640,408,1-2,1,10.0,0.6691176470588235,0.6691176470588235,0.6927374301675978,0.6078431372549019,0.6475195822454308,0.6678706456261796
