dataset,repetition,outer_seed,outer_fold,model,candidate_index,classifier,representation,C,affect_weight,inner_macro_f1,inner_balanced_accuracy,selected
liar2_finance,1,11,1,emotion_aware,36,linear_svm,word,1.0,0.05,0.6312306921599733,0.6312576312576312,False
liar2_finance,1,11,1,emotion_aware,37,linear_svm,word,1.0,0.1,0.6293530511478966,0.6294261294261294,False
liar2_finance,1,11,1,emotion_aware,38,linear_svm,word,1.0,0.25,0.6305864117799018,0.6306471306471306,False
liar2_finance,1,11,1,emotion_aware,39,linear_svm,word,1.0,0.5,0.6281650765724041,0.6282051282051282,False
liar2_finance,1,11,1,emotion_aware,40,linear_svm,word,1.0,1.0,0.6287802092450092,0.6288156288156288,False
liar2_finance,1,11,1,emotion_aware,41,linear_svm,word,10.0,0.05,0.6086619617256088,0.6086691086691087,False
liar2_finance,1,11,1,emotion_aware,42,linear_svm,word,10.0,0.1,0.6166004723057106,0.6166056166056166,False
liar2_finance,1,11,1,emotion_aware,43,linear_svm,word,10.0,0.25,0.6166050450235554,0.6166056166056166,False
liar2_finance,1,11,1,emotion_aware,44,linear_svm,word,10.0,0.5,0.6159938278852121,0.615995115995116,False
liar2_finance,1,11,1,emotion_aware,45,linear_svm,word,10.0,1.0,0.6166056166056166,0.6166056166056166,False
liar2_finance,1,11,1,emotion_aware,46,linear_svm,word_char,0.1,0.05,0.6495094238339496,0.6495726495726495,False
liar2_finance,1,11,1,emotion_aware,47,linear_svm,word_char,0.1,0.1,0.6470548763303048,0.647130647130647,False
liar2_finance,1,11,1,emotion_aware,48,linear_svm,word_char,0.1,0.25,0.6464820678742561,0.6465201465201464,False
liar2_finance,1,11,1,emotion_aware,49,linear_svm,word_char,0.1,0.5,0.6483180929689563,0.6483516483516483,False
liar2_finance,1,11,1,emotion_aware,50,linear_svm,word_char,0.1,1.0,0.6483091787439614,0.6483516483516483,False
liar2_finance,1,11,1,emotion_aware,51,linear_svm,word_char,1.0,0.05,0.6269439438189472,0.626984126984127,False
liar2_finance,1,11,1,emotion_aware,52,linear_svm,word_char,1.0,0.1,0.6288067745566497,0.6288156288156288,False
liar2_finance,1,11,1,emotion_aware,53,linear_svm,word_char,1.0,0.25,0.6220492693322319,0.6221001221001221,False
liar2_finance,1,11,1,emotion_aware,54,linear_svm,word_char,1.0,0.5,0.6184051179002386,0.6184371184371185,False
liar2_finance,1,11,1,emotion_aware,55,linear_svm,word_char,1.0,1.0,0.6196171472982066,0.6196581196581197,False
liar2_finance,1,11,1,emotion_aware,56,linear_svm,word_char,10.0,0.05,0.6110993703603069,0.6111111111111112,False
liar2_finance,1,11,1,emotion_aware,57,linear_svm,word_char,10.0,0.1,0.6129281863505165,0.612942612942613,False
liar2_finance,1,11,1,emotion_aware,58,linear_svm,word_char,10.0,0.25,0.6111040087663226,0.6111111111111112,False
liar2_finance,1,11,1,emotion_aware,59,linear_svm,word_char,10.0,0.5,0.6111040087663226,0.6111111111111112,False
liar2_finance,1,11,1,emotion_aware,60,linear_svm,word_char,10.0,1.0,0.6117164018892229,0.6117216117216118,False
liar2_finance,1,11,2,text_only,1,logistic_regression,word,0.1,,0.6367130058466017,0.6367521367521367,False
liar2_finance,1,11,2,text_only,2,logistic_regression,word,1.0,,0.6458837772397095,0.6459096459096458,False
liar2_finance,1,11,2,text_only,3,logistic_regression,word,10.0,,0.6330660205935796,0.6330891330891331,False
liar2_finance,1,11,2,text_only,4,logistic_regression,word_char,0.1,,0.6446881149740593,0.6446886446886447,False
liar2_finance,1,11,2,text_only,5,logistic_regression,word_char,1.0,,0.6514029820706775,0.6514041514041514,True
liar2_finance,1,11,2,text_only,6,logistic_regression,word_char,10.0,,0.6220966008813207,0.6221001221001221,False
liar2_finance,1,11,2,text_only,7,linear_svm,word,0.1,,0.6434336220379695,0.6434676434676434,False
liar2_finance,1,11,2,text_only,8,linear_svm,word,1.0,,0.6275674208900393,0.6275946275946276,False
liar2_finance,1,11,2,text_only,9,linear_svm,word,10.0,,0.611707139619761,0.6117216117216118,False
liar2_finance,1,11,2,text_only,10,linear_svm,word_char,0.1,,0.6501798906381208,0.6501831501831502,False
liar2_finance,1,11,2,text_only,11,linear_svm,word_char,1.0,,0.6239310632715129,0.6239316239316239,False
liar2_finance,1,11,2,text_only,12,linear_svm,word_char,10.0,,0.6141544103944122,0.6141636141636142,False
liar2_finance,1,11,2,emotion_aware,1,logistic_regression,word,0.1,0.05,0.6513665988880833,0.6514041514041514,False
liar2_finance,1,11,2,emotion_aware,2,logistic_regression,word,0.1,0.1,0.6275924067881513,0.6275946275946276,False
liar2_finance,1,11,2,emotion_aware,3,logistic_regression,word,0.1,0.25,0.6147739711961382,0.6147741147741148,False
liar2_finance,1,11,2,emotion_aware,4,logistic_regression,word,0.1,0.5,0.606822952696739,0.6068376068376069,False
liar2_finance,1,11,2,emotion_aware,5,logistic_regression,word,0.1,1.0,0.6054660293360974,0.6056166056166057,False
liar2_finance,1,11,2,emotion_aware,6,logistic_regression,word,1.0,0.05,0.6550515985736453,0.6550671550671551,False
liar2_finance,1,11,2,emotion_aware,7,logistic_regression,word,1.0,0.1,0.655045427013931,0.6550671550671551,False
liar2_finance,1,11,2,emotion_aware,8,logistic_regression,word,1.0,0.25,0.6495392107017028,0.6495726495726495,False
liar2_finance,1,11,2,emotion_aware,9,logistic_regression,word,1.0,0.5,0.6495094238339496,0.6495726495726495,False
