dataset,repetition,seed,fold,classifier,representation,C,affect_weight,model_variant,accuracy,balanced_accuracy,precision,recall,f1,macro_f1
liar2_finance,1,11,1,logistic_regression,word,0.1,0.0,text_only,0.651219512195122,0.651219512195122,0.6422018348623854,0.6829268292682927,0.6619385342789598,0.6508685114719737
liar2_finance,1,11,1,logistic_regression,word,0.1,0.05,emotion_aware,0.7,0.7,0.6971153846153846,0.7073170731707317,0.7021791767554479,0.6999839372720729
liar2_finance,1,11,1,logistic_regression,word,0.1,0.1,emotion_aware,0.6878048780487804,0.6878048780487804,0.6934673366834171,0.6731707317073171,0.6831683168316832,0.6877380045696877
liar2_finance,1,11,1,logistic_regression,word,0.1,0.25,emotion_aware,0.675609756097561,0.6756097560975609,0.68,0.6634146341463415,0.671604938271605,0.6755615052803807
liar2_finance,1,11,1,logistic_regression,word,0.1,0.5,emotion_aware,0.6609756097560976,0.6609756097560976,0.6617647058823529,0.6585365853658537,0.6601466992665037,0.6609735929422542
liar2_finance,1,11,1,logistic_regression,word,0.1,1.0,emotion_aware,0.6487804878048781,0.6487804878048781,0.6517412935323383,0.6390243902439025,0.645320197044335,0.6487470550439066
liar2_finance,1,11,1,logistic_regression,word,1.0,0.0,text_only,0.6585365853658537,0.6585365853658536,0.6470588235294118,0.697560975609756,0.6713615023474179,0.6580157765544197
liar2_finance,1,11,1,logistic_regression,word,1.0,0.05,emotion_aware,0.675609756097561,0.6756097560975609,0.6682242990654206,0.697560975609756,0.6825775656324582,0.6754533713449073
liar2_finance,1,11,1,logistic_regression,word,1.0,0.1,emotion_aware,0.675609756097561,0.6756097560975609,0.6698113207547169,0.6926829268292682,0.6810551558752997,0.6755151709897591
liar2_finance,1,11,1,logistic_regression,word,1.0,0.25,emotion_aware,0.6853658536585366,0.6853658536585365,0.680952380952381,0.697560975609756,0.689156626506024,0.6853190539937528
liar2_finance,1,11,1,logistic_regression,word,1.0,0.5,emotion_aware,0.6853658536585366,0.6853658536585365,0.6826923076923077,0.6926829268292682,0.6876513317191283,0.6853490073829056
liar2_finance,1,11,1,logistic_regression,word,1.0,1.0,emotion_aware,0.6829268292682927,0.6829268292682926,0.6794258373205742,0.6926829268292682,0.6859903381642513,0.6828966469146379
liar2_finance,1,11,1,logistic_regression,word,10.0,0.0,text_only,0.6463414634146342,0.646341463414634,0.6327433628318584,0.697560975609756,0.6635730858468677,0.645411221586673
liar2_finance,1,11,1,logistic_regression,word,10.0,0.05,emotion_aware,0.6585365853658537,0.6585365853658536,0.6444444444444445,0.7073170731707317,0.6744186046511628,0.6577221228384019
liar2_finance,1,11,1,logistic_regression,word,10.0,0.1,emotion_aware,0.6536585365853659,0.6536585365853658,0.6425339366515838,0.6926829268292682,0.6666666666666666,0.6531302876480541
liar2_finance,1,11,1,logistic_regression,word,10.0,0.25,emotion_aware,0.6585365853658537,0.6585365853658536,0.6484018264840182,0.6926829268292682,0.6698113207547169,0.6581379836096817
liar2_finance,1,11,1,logistic_regression,word,10.0,0.5,emotion_aware,0.6585365853658537,0.6585365853658536,0.6484018264840182,0.6926829268292682,0.6698113207547169,0.6581379836096817
liar2_finance,1,11,1,logistic_regression,word,10.0,1.0,emotion_aware,0.6585365853658537,0.6585365853658536,0.6484018264840182,0.6926829268292682,0.6698113207547169,0.6581379836096817
liar2_finance,1,11,1,logistic_regression,word_char,0.1,0.0,text_only,0.6658536585365854,0.6658536585365853,0.6545454545454545,0.7024390243902439,0.6776470588235294,0.6654058078927774
liar2_finance,1,11,1,logistic_regression,word_char,0.1,0.05,emotion_aware,0.6731707317073171,0.6731707317073171,0.6698564593301436,0.6829268292682927,0.6763285024154589,0.6731396206658575
liar2_finance,1,11,1,logistic_regression,word_char,0.1,0.1,emotion_aware,0.6829268292682927,0.6829268292682927,0.6829268292682927,0.6829268292682927,0.6829268292682927,0.6829268292682927
liar2_finance,1,11,1,logistic_regression,word_char,0.1,0.25,emotion_aware,0.6829268292682927,0.6829268292682926,0.6865671641791045,0.6731707317073171,0.6798029556650246,0.6828966469146379
liar2_finance,1,11,1,logistic_regression,word_char,0.1,0.5,emotion_aware,0.6853658536585366,0.6853658536585365,0.6919191919191919,0.6682926829268293,0.6799007444168734,0.685274113215631
liar2_finance,1,11,1,logistic_regression,word_char,0.1,1.0,emotion_aware,0.6829268292682927,0.6829268292682926,0.6903553299492385,0.6634146341463415,0.6766169154228856,0.6828060653669452
liar2_finance,1,11,1,logistic_regression,word_char,1.0,0.0,text_only,0.6634146341463415,0.6634146341463415,0.6572769953051644,0.6829268292682927,0.6698564593301436,0.6632864386202957
liar2_finance,1,11,1,logistic_regression,word_char,1.0,0.05,emotion_aware,0.6951219512195121,0.6951219512195121,0.6941747572815534,0.697560975609756,0.6958637469586375,0.6951201375379985
