dataset,repetition,seed,model,accuracy,balanced_accuracy,precision,recall,f1,macro_f1
liar2_finance,1,11,text_only,0.65625,0.65625,0.6626016260162602,0.63671875,0.649402390438247,0.6561188197401964
liar2_finance,1,11,emotion_aware,0.65771484375,0.65771484375,0.6636271529888551,0.6396484375,0.6514172053704624,0.6576030870977012
liar2_finance,2,22,text_only,0.6572265625,0.6572265625,0.6636178861788617,0.6376953125,0.650398406374502,0.6570957549113889
liar2_finance,2,22,emotion_aware,0.66455078125,0.66455078125,0.6724667349027635,0.6416015625,0.656671664167916,0.6643740182414759
liar2_finance,3,33,text_only,0.65087890625,0.65087890625,0.6568527918781726,0.6318359375,0.6441015430562469,0.6507522569138446
liar2_finance,3,33,emotion_aware,0.666015625,0.666015625,0.6752577319587629,0.6396484375,0.6569709127382146,0.6657832679770996
liar2_finance,4,44,text_only,0.66357421875,0.66357421875,0.676130389064143,0.6279296875,0.6511392405063291,0.6631462350575021
liar2_finance,4,44,emotion_aware,0.673828125,0.673828125,0.6861924686192469,0.640625,0.6626262626262627,0.6734681407649272
liar2_finance,5,55,text_only,0.66162109375,0.66162109375,0.6693961105424769,0.638671875,0.6536731634182908,0.6614427869597421
liar2_finance,5,55,emotion_aware,0.6689453125,0.6689453125,0.676530612244898,0.6474609375,0.6616766467065869,0.668792434251955
liar2_finance,6,66,text_only,0.650390625,0.650390625,0.6527777777777778,0.642578125,0.6476377952755905,0.6503692852346945
liar2_finance,6,66,emotion_aware,0.6474609375,0.6474609375,0.6553497942386831,0.6220703125,0.6382765531062125,0.6472335146483443
liar2_finance,7,77,text_only,0.6484375,0.6484375,0.6529175050301811,0.6337890625,0.643211100099108,0.6483620466809303
liar2_finance,7,77,emotion_aware,0.65673828125,0.65673828125,0.6656346749226006,0.6298828125,0.6472654290015053,0.6564905366595735
liar2_finance,8,88,text_only,0.64453125,0.64453125,0.6504065040650406,0.625,0.6374501992031872,0.6443955976858848
liar2_finance,8,88,emotion_aware,0.66162109375,0.66162109375,0.669050051072523,0.6396484375,0.654018971542686,0.6614576463064601
liar2_finance,9,99,text_only,0.65673828125,0.65673828125,0.6629441624365482,0.6376953125,0.6500746640119462,0.6566137574971087
liar2_finance,9,99,emotion_aware,0.66455078125,0.66455078125,0.6710659898477157,0.6455078125,0.658038825286212,0.6644290916081276
liar2_finance,10,110,text_only,0.64013671875,0.64013671875,0.646878198567042,0.6171875,0.6316841579210395,0.639947090893694
liar2_finance,10,110,emotion_aware,0.65087890625,0.65087890625,0.6611053180396246,0.619140625,0.6394351991931417,0.6505268755075979
factors_finance,1,11,text_only,0.6379310344827587,0.6379310344827587,0.644,0.6168582375478927,0.6301369863013698,0.637770181706032
factors_finance,1,11,emotion_aware,0.6206896551724138,0.6206896551724138,0.6307053941908713,0.5823754789272031,0.6055776892430279,0.6201320180532482
factors_finance,2,22,text_only,0.6283524904214559,0.6283524904214559,0.6324110671936759,0.6130268199233716,0.622568093385214,0.6282651787680786
factors_finance,2,22,emotion_aware,0.6283524904214559,0.6283524904214559,0.6324110671936759,0.6130268199233716,0.622568093385214,0.6282651787680786
factors_finance,3,33,text_only,0.5996168582375478,0.5996168582375478,0.5984848484848485,0.6053639846743295,0.6019047619047619,0.5996036333608588
factors_finance,3,33,emotion_aware,0.6111111111111112,0.6111111111111112,0.6106870229007634,0.6130268199233716,0.6118546845124283,0.6111096839068859
factors_finance,4,44,text_only,0.6226053639846744,0.6226053639846743,0.6212121212121212,0.6283524904214559,0.6247619047619047,0.6225928984310487
factors_finance,4,44,emotion_aware,0.6417624521072797,0.6417624521072797,0.64453125,0.632183908045977,0.6382978723404256,0.6417295813315032
factors_finance,5,55,text_only,0.6053639846743295,0.6053639846743295,0.6131687242798354,0.5708812260536399,0.5912698412698413,0.6048941798941798
factors_finance,5,55,emotion_aware,0.6130268199233716,0.6130268199233717,0.6175298804780877,0.5938697318007663,0.60546875,0.6128847509398496
factors_finance,6,66,text_only,0.6436781609195402,0.6436781609195402,0.654320987654321,0.6091954022988506,0.6309523809523809,0.6432539682539682
factors_finance,6,66,emotion_aware,0.6340996168582376,0.6340996168582376,0.6470588235294118,0.5900383141762452,0.6172344689378757,0.6333878766707728
factors_finance,7,77,text_only,0.6168582375478927,0.6168582375478927,0.6177606177606177,0.6130268199233716,0.6153846153846154,0.6168526130358192
factors_finance,7,77,emotion_aware,0.6206896551724138,0.6206896551724138,0.6245059288537549,0.6053639846743295,0.6147859922178989,0.6206005432787607
factors_finance,8,88,text_only,0.6245210727969349,0.6245210727969348,0.631578947368421,0.5977011494252874,0.6141732283464567,0.6242507932777059
factors_finance,8,88,emotion_aware,0.6130268199233716,0.6130268199233717,0.616600790513834,0.5977011494252874,0.6070038910505836,0.6129359077894427
factors_finance,9,99,text_only,0.6379310344827587,0.6379310344827587,0.6395348837209303,0.632183908045977,0.6358381502890174,0.6379190751445087
factors_finance,9,99,emotion_aware,0.6360153256704981,0.6360153256704981,0.6360153256704981,0.6360153256704981,0.6360153256704981,0.6360153256704981
factors_finance,10,110,text_only,0.6302681992337165,0.6302681992337165,0.6317829457364341,0.6245210727969349,0.628131021194605,0.6302559867877786
factors_finance,10,110,emotion_aware,0.60727969348659,0.60727969348659,0.6111111111111112,0.5900383141762452,0.6003898635477583,0.6071629167079657
