dataset,repetition,outer_seed,outer_fold,model,parameter_index,ngram_range,min_df,C,inner_macro_f1,inner_balanced_accuracy,selected
liar2_finance,1,11,3,text_only,7,1-2,1,0.1,0.6395897136020741,0.6398046398046398,False
liar2_finance,1,11,3,text_only,8,1-2,1,1.0,0.6426545660805445,0.6428571428571428,True
liar2_finance,1,11,3,text_only,9,1-2,1,10.0,0.6378261380224501,0.6379731379731379,False
liar2_finance,1,11,3,text_only,10,1-2,2,0.1,0.6391455867130034,0.6391941391941391,False
liar2_finance,1,11,3,text_only,11,1-2,2,1.0,0.6403989231148266,0.6404151404151404,False
liar2_finance,1,11,3,text_only,12,1-2,2,10.0,0.6202544667350492,0.6202686202686203,False
liar2_finance,1,11,3,emotion_aware,1,1-1,1,0.1,0.6170960960076475,0.6172161172161172,False
liar2_finance,1,11,3,emotion_aware,2,1-1,1,1.0,0.6489463171324708,0.648962148962149,False
liar2_finance,1,11,3,emotion_aware,3,1-1,1,10.0,0.623297395517868,0.6233211233211233,False
liar2_finance,1,11,3,emotion_aware,4,1-1,2,0.1,0.6207907862269093,0.6208791208791209,False
liar2_finance,1,11,3,emotion_aware,5,1-1,2,1.0,0.6532273814937122,0.6532356532356532,True
liar2_finance,1,11,3,emotion_aware,6,1-1,2,10.0,0.6098376140602524,0.6098901098901099,False
liar2_finance,1,11,3,emotion_aware,7,1-2,1,0.1,0.6006605630442563,0.6007326007326008,False
liar2_finance,1,11,3,emotion_aware,8,1-2,1,1.0,0.6340579480418247,0.6343101343101343,False
liar2_finance,1,11,3,emotion_aware,9,1-2,1,10.0,0.6433480081606356,0.6434676434676434,False
liar2_finance,1,11,3,emotion_aware,10,1-2,2,0.1,0.6153381642512077,0.6153846153846154,False
liar2_finance,1,11,3,emotion_aware,11,1-2,2,1.0,0.6397272959080966,0.6398046398046398,False
liar2_finance,1,11,3,emotion_aware,12,1-2,2,10.0,0.6397783251231528,0.6398046398046398,False
liar2_finance,1,11,4,text_only,1,1-1,1,0.1,0.6434655173184924,0.6434676434676435,False
liar2_finance,1,11,4,text_only,2,1-1,1,1.0,0.6416328024512685,0.6416361416361416,False
liar2_finance,1,11,4,text_only,3,1-1,1,10.0,0.6300344237928192,0.63003663003663,False
liar2_finance,1,11,4,text_only,4,1-1,2,0.1,0.6385750173314747,0.6385836385836385,False
liar2_finance,1,11,4,text_only,5,1-1,2,1.0,0.6367411701167702,0.6367521367521367,False
liar2_finance,1,11,4,text_only,6,1-1,2,10.0,0.6342990939494879,0.6343101343101343,False
liar2_finance,1,11,4,text_only,7,1-2,1,0.1,0.6503244703005548,0.6507936507936508,False
