training_dataset,manipulation_category,examples,paired_predictions,text_recall,emotion_recall,text_correct_emotion_wrong_predictions,emotion_correct_text_wrong_predictions,text_probability_mean,emotion_probability_mean,probability_change_mean,recall_change_emotion_minus_text,persistent_failure_examples,unanimous_failure_examples
factors_finance,causal,231,2310,0.3238095238095238,0.23896103896103896,318,122,0.4831375419878056,0.4331103310232142,-0.05002721096459137,-0.08484848484848487,22,0
factors_finance,flipping,313,3130,0.44696485623003196,0.36166134185303517,415,148,0.4929375221780106,0.4586588196405771,-0.034278702537433536,-0.08530351437699679,20,1
factors_finance,numerical,373,3730,0.39517426273458445,0.32198391420911526,432,159,0.49100736381665766,0.4568563153543071,-0.03415104846235053,-0.07319034852546918,19,2
factors_finance,sentiment,206,2060,0.38155339805825245,0.36456310679611653,193,158,0.48684783749401367,0.46417655971059557,-0.02267127778341808,-0.016990291262135915,9,0
liar2_finance,causal,231,2310,0.5077922077922078,0.34545454545454546,408,33,0.5013086920144842,0.4511269273253385,-0.05018176468914576,-0.16233766233766234,29,12
liar2_finance,flipping,313,3130,0.38466453674121404,0.3795527156549521,184,168,0.46079622621288874,0.45873118837451315,-0.0020650378383755426,-0.005111821086261958,5,1
liar2_finance,numerical,373,3730,0.3753351206434316,0.23672922252010725,620,103,0.45778278741240114,0.42097127551290897,-0.03681151189949221,-0.13860589812332436,44,11
liar2_finance,sentiment,206,2060,0.4014563106796116,0.28640776699029125,322,85,0.4629108861597003,0.4358604321562963,-0.027050454003403987,-0.11504854368932038,17,8
