dataset,repetition,seed,model,classifier,representation,C,affect_weight,scope,subset,manipulation_category,rows,detected_misleading,missed_misleading,misleading_recall
liar2_finance,2,22,text_only,linear_svm,word_char,0.1,,subset_category,hard_case,causal,43,20,23,0.46511627906976744
liar2_finance,2,22,text_only,linear_svm,word_char,0.1,,subset_category,hard_case,flipping,7,3,4,0.42857142857142855
liar2_finance,2,22,text_only,linear_svm,word_char,0.1,,subset_category,hard_case,numerical,20,4,16,0.2
liar2_finance,2,22,text_only,linear_svm,word_char,0.1,,subset_category,hard_case,sentiment,53,17,36,0.32075471698113206
liar2_finance,2,22,text_only,linear_svm,word_char,0.1,,subset_category,main,causal,188,106,82,0.5638297872340425
liar2_finance,2,22,text_only,linear_svm,word_char,0.1,,subset_category,main,flipping,306,142,164,0.46405228758169936
liar2_finance,2,22,text_only,linear_svm,word_char,0.1,,subset_category,main,numerical,353,174,179,0.49291784702549574
liar2_finance,2,22,text_only,linear_svm,word_char,0.1,,subset_category,main,sentiment,153,75,78,0.49019607843137253
liar2_finance,2,22,emotion_aware,linear_svm,word,0.1,0.05,overall,all,all,1123,392,731,0.3490650044523598
liar2_finance,2,22,emotion_aware,linear_svm,word,0.1,0.05,overall_non_sentiment,all,non_sentiment,917,320,597,0.3489640130861505
liar2_finance,2,22,emotion_aware,linear_svm,word,0.1,0.05,subset,hard_case,all,123,29,94,0.23577235772357724
liar2_finance,2,22,emotion_aware,linear_svm,word,0.1,0.05,subset_non_sentiment,hard_case,non_sentiment,70,17,53,0.24285714285714285
liar2_finance,2,22,emotion_aware,linear_svm,word,0.1,0.05,subset,main,all,1000,363,637,0.363
liar2_finance,2,22,emotion_aware,linear_svm,word,0.1,0.05,subset_non_sentiment,main,non_sentiment,847,303,544,0.3577331759149941
liar2_finance,2,22,emotion_aware,linear_svm,word,0.1,0.05,category,all,causal,231,87,144,0.37662337662337664
liar2_finance,2,22,emotion_aware,linear_svm,word,0.1,0.05,category,all,flipping,313,140,173,0.4472843450479233
liar2_finance,2,22,emotion_aware,linear_svm,word,0.1,0.05,category,all,numerical,373,93,280,0.24932975871313673
liar2_finance,2,22,emotion_aware,linear_svm,word,0.1,0.05,category,all,sentiment,206,72,134,0.34951456310679613
liar2_finance,2,22,emotion_aware,linear_svm,word,0.1,0.05,subset_category,hard_case,causal,43,13,30,0.3023255813953488
liar2_finance,2,22,emotion_aware,linear_svm,word,0.1,0.05,subset_category,hard_case,flipping,7,4,3,0.5714285714285714
liar2_finance,2,22,emotion_aware,linear_svm,word,0.1,0.05,subset_category,hard_case,numerical,20,0,20,0.0
liar2_finance,2,22,emotion_aware,linear_svm,word,0.1,0.05,subset_category,hard_case,sentiment,53,12,41,0.22641509433962265
liar2_finance,2,22,emotion_aware,linear_svm,word,0.1,0.05,subset_category,main,causal,188,74,114,0.39361702127659576
liar2_finance,2,22,emotion_aware,linear_svm,word,0.1,0.05,subset_category,main,flipping,306,136,170,0.4444444444444444
liar2_finance,2,22,emotion_aware,linear_svm,word,0.1,0.05,subset_category,main,numerical,353,93,260,0.26345609065155806
liar2_finance,2,22,emotion_aware,linear_svm,word,0.1,0.05,subset_category,main,sentiment,153,60,93,0.39215686274509803
liar2_finance,3,33,text_only,linear_svm,word_char,0.1,,overall,all,all,1123,541,582,0.4817453250222618
liar2_finance,3,33,text_only,linear_svm,word_char,0.1,,overall_non_sentiment,all,non_sentiment,917,449,468,0.48964013086150493
liar2_finance,3,33,text_only,linear_svm,word_char,0.1,,subset,hard_case,all,123,44,79,0.35772357723577236
liar2_finance,3,33,text_only,linear_svm,word_char,0.1,,subset_non_sentiment,hard_case,non_sentiment,70,27,43,0.38571428571428573
liar2_finance,3,33,text_only,linear_svm,word_char,0.1,,subset,main,all,1000,497,503,0.497
liar2_finance,3,33,text_only,linear_svm,word_char,0.1,,subset_non_sentiment,main,non_sentiment,847,422,425,0.4982290436835891
liar2_finance,3,33,text_only,linear_svm,word_char,0.1,,category,all,causal,231,126,105,0.5454545454545454
liar2_finance,3,33,text_only,linear_svm,word_char,0.1,,category,all,flipping,313,145,168,0.46325878594249204
liar2_finance,3,33,text_only,linear_svm,word_char,0.1,,category,all,numerical,373,178,195,0.4772117962466488
liar2_finance,3,33,text_only,linear_svm,word_char,0.1,,category,all,sentiment,206,92,114,0.44660194174757284
liar2_finance,3,33,text_only,linear_svm,word_char,0.1,,subset_category,hard_case,causal,43,20,23,0.46511627906976744
liar2_finance,3,33,text_only,linear_svm,word_char,0.1,,subset_category,hard_case,flipping,7,3,4,0.42857142857142855
liar2_finance,3,33,text_only,linear_svm,word_char,0.1,,subset_category,hard_case,numerical,20,4,16,0.2
liar2_finance,3,33,text_only,linear_svm,word_char,0.1,,subset_category,hard_case,sentiment,53,17,36,0.32075471698113206
liar2_finance,3,33,text_only,linear_svm,word_char,0.1,,subset_category,main,causal,188,106,82,0.5638297872340425
liar2_finance,3,33,text_only,linear_svm,word_char,0.1,,subset_category,main,flipping,306,142,164,0.46405228758169936
liar2_finance,3,33,text_only,linear_svm,word_char,0.1,,subset_category,main,numerical,353,174,179,0.49291784702549574
