dataset,metric,repetitions,text_only_mean,text_only_std,emotion_aware_mean,emotion_aware_std,difference_emotion_minus_text,rank_biserial,holm_adjusted_p,significant,difference_percentage_points
liar2_finance,macro_f1,10,0.6528243631574986,0.0073890123988062,0.6610158613063263,0.0081204990499569,0.0081914981488275,0.9272727272727272,0.0234375,True,0.8191498148827501
liar2_finance,balanced_accuracy,10,0.652978515625,0.0074374565173105,0.66123046875,0.0081145494857819,0.008251953125,0.9272727272727272,0.0234375,True,0.8251953124999999
factors_finance,macro_f1,10,0.6245658508659979,0.0142265172548544,0.6224223783117007,0.0118428097865801,-0.0021434725542972,-0.1555555555555555,1.0,False,-0.21434725542972002
factors_finance,balanced_accuracy,10,0.6247126436781609,0.0142345171713022,0.6226053639846743,0.0118780812501521,-0.0021072796934865,-0.1555555555555555,1.0,False,-0.21072796934865
