,mean_difference_misleading_minus_genuine,mean_difference_misleading_minus_genuine,rank_biserial_correlation,rank_biserial_correlation,holm_adjusted_p_value,holm_adjusted_p_value,significant_after_holm_0_05,significant_after_holm_0_05
dataset,FACTors,LIAR2-Finance,FACTors,LIAR2-Finance,FACTors,LIAR2-Finance,FACTors,LIAR2-Finance
feature_label,,,,,,,,
Anger,0.0211570881226053,0.020435546875,0.2915887850467289,0.2493202870189171,0.0010729029020676,8.003503365654403e-10,True,True
Fear,0.0205363984674329,0.020609375,0.2369875080076874,0.2486377827710728,0.0085770415373853,8.003503365654403e-10,True,True
Joy,-0.0090114942528735,-0.0226767578125,-0.0549941495585576,-0.1995732829667326,0.6497388081696039,1.803849508786644e-07,False,True
Sadness,0.0078084291187739,0.010294921875,0.0931078377886888,0.1134198666223962,0.6497388081696039,0.0035209395355741,False,True
Valence,-0.0117586206896551,-0.0268232421875,-0.0828149172179981,-0.2077572907939415,0.6497388081696039,5.927270530213263e-08,False,True
